target_id,control.1,control.2,control.3,abf2.1,abf2.2,abf2.3,abf3.1,abf3.2,abf3.3
AT5G16970.1,256.516,139.827,175.67,183.497,154.634,159.254,154.368,104.624,112.707
AT4G32100.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT2G43120.2,10841.4,5363.78,4393.62,5624.0,5828.13,5871.93,7748.97,5542.18,5560.68
AT2G43120.1,183.579,532.223,179.381,884.003,731.865,122.072,489.032,293.823,518.322
AT1G30814.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G30814.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G30814.2,160.663,50.3002,37.601,57.1996,38.2693,44.0166,42.7517,34.4583,24.4036
AT1G30814.3,270.337,160.7,140.399,64.8004,122.731,122.983,106.248,75.5417,99.5964
AT3G18710.1,17561.0,14316.0,9362.0,8869.0,8472.0,9699.0,10366.0,10212.0,9460.0
AT4G25880.4,312.259,322.142,385.083,757.031,208.378,353.832,146.985,196.203,127.068
AT4G25880.2,511.279,318.336,496.852,256.119,1.98856e-05,1.3994,24.5106,0.205122,571.303
AT4G25880.5,2105.67,1141.89,701.178,958.813,644.324,866.35,1050.82,873.032,978.386
AT4G25880.1,1236.92,894.6,669.88,9.68743e-06,666.089,599.418,497.688,384.56,279.243
AT4G25880.3,20.8712,0.0280099,0.00736992,0.0374337,0.209562,0.0,0.0,1.18002e-05,5.83871e-07
AT1G78930.1,406.0,208.0,190.0,218.0,142.0,198.0,206.0,154.0,205.0
AT3G07950.1,142.0,126.0,95.0,49.0,60.0,70.0,57.0,85.0,71.0
AT4G03450.2,4.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
AT4G03450.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AT1G71695.1,66.0,74.0,47.0,105.0,137.0,66.0,193.0,194.0,228.0
AT1G58983.1,2114.35,1738.83,1501.3,1272.22,831.767,1014.08,1289.66,1166.88,1352.14
AT1G12980.1,16.0,5.0,5.0,0.0,2.0,4.0,2.0,1.0,7.0
AT5G41480.1,207.0,106.0,103.0,71.0,98.0,139.0,91.0,79.0,143.0
AT5G15008.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT3G51870.1,364.0,197.0,194.0,157.0,160.0,202.0,211.0,150.0,219.0
AT4G29950.3,238.543,138.623,153.14,3.69204,97.1468,132.461,167.668,79.639,308.922
AT4G29950.1,1630.23,1070.15,1264.47,2227.99,1250.84,1741.59,901.665,1911.59,1164.06
AT4G29950.2,1218.23,917.227,420.385,358.317,516.017,528.946,925.667,355.773,1406.01
AT3G18310.1,438.0,290.0,258.0,167.0,157.0,164.0,241.0,195.0,262.0
AT5G07360.3,322.637,216.0,149.637,131.0,106.637,155.0,155.189,134.645,190.888
AT5G07360.1,22.3627,0.0,22.3627,0.0,22.3627,0.0,22.3677,22.3627,20.112
AT5G07360.2,0.0,0.0,0.0,0.0,0.0,0.0,0.443489,20.9925,0.0
AT4G08535.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT4G08535.3,1.69149,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0
AT4G08535.2,4.30851,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0
AT4G26490.1,96.0,48.0,54.0,69.0,36.0,31.0,49.0,34.0,53.0
AT5G46240.1,24.0,20.0,22.0,0.0,7.0,8.0,0.0,10.0,12.0
AT5G62260.3,491.263,278.388,247.33,0.0179933,236.951,196.755,236.345,245.844,169.154
AT5G62260.1,312.867,234.647,158.677,452.982,53.0486,160.245,171.592,23.4761,203.846
AT5G62260.2,22.8701,21.9649,19.9932,0.0,0.0,0.0,11.0629,19.6798,0.0
AT4G16955.1,0.0,0.0,0.0,7.15478,0.0,0.0,4.14638,0.0,0.0
AT3G25717.1,18.0,6.0,14.0,0.0,7.0,7.0,26.0,10.0,13.0
AT1G45223.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT5G35715.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT5G41908.1,8.0,2.0,1.0,0.0,2.0,2.0,3.0,2.0,2.0
AT2G21390.1,1707.39,1137.0,994.807,726.504,762.0,970.0,673.0,809.0,938.0
AT3G48330.2,159.453,133.987,60.2714,0.0,39.1415,138.117,104.124,73.0768,106.146
AT3G48330.3,55.2842,31.2244,22.366,37.073,14.9413,35.437,21.7165,15.5245,10.1446
AT3G48330.4,10.0652,19.1194,0.0,0.0,21.6549,0.0,7.03756,10.5524,0.0
AT3G48330.1,610.198,259.669,295.363,213.927,306.262,208.446,310.122,174.846,290.709
AT4G32710.1,153.0,88.0,79.0,107.0,70.0,101.0,67.0,71.0,96.0
AT3G46440.1,449.0,328.348,284.404,237.0,183.727,220.243,232.905,235.0,260.965
AT3G46440.2,0.0,21.6517,10.5956,0.0,11.273,22.7572,18.0954,0.0,24.035
AT2G21930.1,0.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,2.0
AT2G21930.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT3G53910.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT4G25090.1,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0
AT4G25090.2,13.0,1.0,4.0,15.0,3.0,3.0,0.0,3.0,0.0
AT2G18870.1,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
AT1G56250.1,28102.3,20876.4,15488.5,12453.0,11509.8,12921.8,11640.5,10042.0,10236.8
AT3G16830.1,1962.0,1226.0,1034.0,809.0,729.0,855.0,869.0,930.0,1037.0
AT5G20470.1,7.08808,1.0135,4.05587,0.0,3.05325,2.02052,1.02586,3.05131,3.0406
AT5G04950.1,1.0,5.0,1.0,0.0,4.0,2.0,6.0,0.0,0.0
AT4G13720.1,136.0,68.1395,71.3798,55.0,42.2791,57.7597,90.3798,25.7597,65.3798
AT4G13720.2,0.0,19.8605,6.62016,0.0,39.7209,13.2403,6.62016,13.2403,6.62016
AT5G50110.1,118.537,67.6439,55.0,67.0,42.0,52.9751,70.4833,47.0,54.0
AT5G50110.2,8.46258,3.35615,0.0,0.0,0.0,9.02492,13.5167,0.0,0.0
AT3G03305.1,292.66,203.62,225.0,168.999,146.882,149.465,130.901,175.72,188.245
AT5G66670.2,0.0,0.0,0.0,142.0,1.10148e-05,0.0,50.6627,0.848162,0.0
AT5G66670.4,123.629,62.4823,110.81,6.28938e-08,96.9936,106.887,91.6329,79.1466,131.184
AT5G66670.3,32.3565,44.9404,23.4463,0.0,34.0064,21.3735,0.0,17.0052,37.0182
AT5G66670.1,83.0141,22.5773,11.7441,0.0,0.0,23.7395,14.7045,3.66351e-06,10.7974
AT4G08039.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT2G38310.1,3679.0,2063.0,2110.0,1947.0,1503.0,1446.0,1476.0,1140.0,1572.0
AT2G26900.1,22.0,30.0,24.0,0.0,20.0,28.0,19.0,31.0,32.0
AT5G23000.1,337.0,303.0,222.0,94.0,112.0,141.0,142.0,151.0,107.0
AT1G66852.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G69810.2,30.6186,12.4807,0.0,23.8869,4.09791,47.7361,34.1686,12.4982,12.1901
AT1G69810.1,1229.38,916.519,657.0,571.113,590.902,540.264,620.831,609.502,581.81
AT1G72450.2,250.731,117.595,149.937,0.0,51.8579,72.3377,120.882,55.4698,80.3983
AT1G72450.1,4199.27,2407.4,2285.06,1879.0,1835.14,2009.66,1404.12,1344.53,1509.6
AT5G03560.3,438.221,288.976,154.572,95.4033,200.001,239.04,224.711,171.671,210.714
AT5G03560.4,107.838,107.326,104.446,131.016,36.416,81.8876,85.6441,66.5357,98.0444
AT5G03560.1,188.063,166.962,198.873,219.58,113.293,96.0726,85.8595,96.6331,179.907
AT5G03560.2,125.878,33.736,54.1086,0.0,10.2899,0.0,50.7859,37.1606,35.3348
AT4G27340.3,30.5353,8.8517,6.28872,0.0,7.4599,3.38911,13.6359,17.8241,19.2601
AT4G27340.2,0.138776,38.4035,34.6089,38.6706,0.0,43.2032,14.2965,12.1788,78.7988
AT4G27340.1,385.326,171.745,178.102,71.3294,167.54,154.408,193.068,138.997,129.941
AT1G76280.4,8.85562,10.5109,0.0,0.0,10.0226,0.0,16.3204,12.0485,60.9826
AT1G76280.2,15.7315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5804
AT1G76280.5,146.404,77.3628,119.478,7.29449e-05,48.7926,29.0208,71.9994,155.834,113.437
AT1G76280.3,0.0,0.0,24.5224,35.5187,0.0,0.0,2.93639e-07,0.0,1.36402e-08
AT1G76280.1,143.009,74.1263,0.0,89.4812,71.1848,84.9792,28.6802,2.11714,0.0
AT3G03272.1,16.0,5.0,6.0,0.0,6.0,10.0,10.0,5.0,7.0
AT3G28960.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT3G28960.4,2.0,1.0,4.0,0.0,3.0,2.0,0.0,1.0,0.0
AT3G28960.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT3G28960.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT3G28960.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G65630.1,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
AT3G10210.1,351.012,242.055,204.351,180.0,220.246,179.463,223.0,172.847,182.338
AT4G27830.2,415.928,232.994,80.5894,1.56278e-07,120.843,184.439,160.408,91.2881,182.295
AT4G27830.1,279.515,163.618,224.975,261.0,184.071,102.261,109.079,102.261,115.896
AT1G71390.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G71390.1,5.0,2.00051,4.0013,0.0,1.0,1.0,1.0,2.0,0.0
AT5G46260.1,23.0303,19.4281,12.0531,0.0,8.0,2.29087,11.6845,10.2341,12.6815
AT2G32710.2,583.326,349.455,352.624,223.0,270.4,271.336,348.762,289.629,320.415
AT2G32710.1,81.6737,51.0147,30.376,0.0,24.5998,37.6639,45.7423,11.607,26.4012
AT5G27680.2,15.0913,1.16249e-07,15.8333,0.0,0.0,0.0,23.6587,0.0,0.0
AT5G27680.3,0.217422,48.0174,2.21218,0.0,0.0,0.0,0.0984393,0.0,0.0
AT5G27680.5,91.8217,35.7143,0.497983,115.0,0.885249,12.8467,12.1934,15.0674,53.8809
AT5G27680.4,41.0312,57.2683,57.0959,0.0,41.7202,9.63524e-05,4.33762,71.93,0.0
AT5G27680.1,93.8384,0.0,14.3606,0.0,0.0390114,56.6641,52.7117,0.0,0.0
AT5G27680.6,0.0,0.0,4.73927e-08,2.06368e-07,33.3555,17.4891,6.51452e-05,0.00263564,59.1191
AT4G19380.1,1.0,5.0,0.0,10.0,7.0,3.0,0.0,6.0,3.0
AT4G19380.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
AT5G61960.2,54.1944,0.0,0.0,0.0,0.0,25.9157,5.86755,0.0,19.6779
AT5G61960.10,2044.34,1271.54,1044.29,814.525,770.121,861.959,438.536,784.91,980.654
AT5G61960.5,0.0,0.00136557,0.0,0.0,0.0,0.0,0.0,1.60135e-07,0.0
AT5G61960.9,26.8136,4.94294e-05,78.0145,0.0,31.6923,0.0,28.3031,63.3014,41.4988
AT5G61960.6,21.5775,0.0,46.1586,0.0,0.0,0.0,56.3672,0.0,121.822
AT5G61960.11,168.966,5.29576,280.669,408.802,112.436,162.484,257.638,69.0173,3.8379e-07
AT5G61960.1,1386.02,878.347,636.87,708.674,597.751,595.775,628.289,400.441,676.348
AT5G61960.3,0.0,48.7927,0.0,0.0,0.0,0.180545,6.98042e-08,3.62816,0.0
AT5G61960.8,21.0924,45.059,0.0,0.0,0.0,18.686,0.0,2.97806e-07,0.0
AT5G61960.4,0.0,2.05367e-05,9.60763e-05,0.0,0.0,0.0,4.07677e-07,35.7017,0.0
AT5G61960.7,0.0,77.9676,0.0,0.0,0.0,0.0,0.0,9.78746e-08,2.72902e-07
AT4G29180.2,109.222,109.0,59.5826,0.0,17.1239,98.3687,1.23645e-07,0.0,3.73839e-05
AT4G29180.1,7.87491e-08,0.0,0.0,39.0,0.0,0.0,4.77879e-05,0.0,0.0
AT4G29180.3,163.778,8.23662e-05,71.4174,0.0,97.8761,3.63132,98.0,56.0,71.0
AT3G09680.1,20.0266,17.1002,10.0,0.0,2.00744,8.06322,12.0501,8.06539,11.0957
AT1G56233.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G15210.1,8086.53,3851.21,4615.3,3649.29,3068.06,3471.39,3060.07,3868.4,4656.32
AT3G63470.1,164.0,97.0,98.0,91.0,55.0,48.0,85.0,69.0,61.0
AT2G16970.1,3.83515,0.0,0.0,46.5141,0.0,0.0,5.98333,13.0974,32.5599
AT2G16970.8,0.0,0.7997,0.0,5.48592,5.66631e-07,11.404,0.0,0.0,10.4401
AT2G16970.6,12.0406,4.67549,0.0,0.0,0.156666,0.0,0.0,5.10469,0.0
AT2G16970.3,0.0,0.000389713,17.0,0.0,4.54314,0.0,0.0,0.0,0.0
AT2G16970.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT2G16970.4,0.0,14.5244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT2G16970.2,0.0,0.0,0.0,0.0,20.3002,24.596,24.0167,31.7979,0.0
AT2G16970.5,14.1243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G15250.1,110.75,55.375,0.0,0.0,0.0,55.3287,55.375,27.6875,110.741
AT1G15250.2,101.25,41.625,98.0,61.0,70.0,7.67132,50.625,53.3125,21.2594
AT1G79700.2,21.5278,2.83947,20.979,0.0,19.6481,12.2091,9.26609,19.2572,26.5278
AT1G79700.3,5.45543,0.0,16.4626,0.0,0.0,0.0,0.0,0.0,0.0
AT1G79700.1,48.0167,25.1615,2.55727,16.5047,6.53253,25.7603,31.5357,0.718205,4.47222
AT1G79700.4,0.0,22.999,0.00112478,13.4953,4.81938,10.0306,0.198174,5.02457,0.0
AT2G46620.1,3093.0,2408.0,1675.0,1631.0,1329.0,1667.0,1202.0,1264.0,1242.0
AT3G46920.1,266.437,219.692,219.795,0.0,163.833,219.846,202.872,153.821,36.399
AT3G46920.2,968.563,528.308,352.205,499.0,286.167,264.154,220.128,308.179,505.601
AT2G43750.2,511.373,361.806,287.365,303.0,242.147,259.194,253.898,284.116,243.169
AT2G43750.1,0.0,17.5449,0.0,0.0,17.5449,17.5449,8.77246,0.0,0.0
AT1G62895.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT2G24490.2,33.9145,13.3184,30.3117,0.0,12.3884,22.4892,29.9466,14.2065,22.0981
AT2G24490.1,108.085,59.6816,37.6883,53.0,19.5154,33.1932,61.0517,65.1234,61.9019
AT3G57080.1,77.0,66.0,57.0,0.0,50.0,56.0,59.0,41.0,41.0
AT3G13820.1,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
AT2G15080.2,5.0,0.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0
AT2G15080.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
AT1G73360.1,21.0,7.0,4.0,18.0,5.0,5.0,8.0,7.0,9.0
AT1G16360.1,15.8299,11.6804,28.5121,37.0,0.0,0.0,14.1604,42.6383,10.3191
AT1G16360.4,0.0,0.0,0.0,0.0,0.0,0.0,6.50306,0.0,0.0
AT1G16360.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G16360.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G16360.2,140.17,79.3196,42.4879,0.0,35.0,42.0,45.3365,23.3617,11.6809
AT1G10225.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT3G49770.1,0.0,1.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0
AT4G31660.1,4.0,3.0,2.0,0.0,0.0,3.0,3.0,4.0,3.0
AT1G26670.1,576.0,387.0,299.0,209.0,274.0,286.0,347.0,294.0,312.0
AT1G34855.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G52200.1,9796.97,8085.32,4798.13,3495.99,3769.39,3914.61,4375.51,3669.72,3016.03
AT1G52200.2,3035.03,2194.68,1565.87,1588.01,1011.61,1323.39,1431.49,1060.28,875.966
AT1G57800.2,0.0,0.000985227,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G57800.1,0.0,0.999015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT4G23200.1,11.579,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0
AT4G23200.2,7.42098,15.0,9.0,0.0,5.0,6.0,8.0,0.0,0.0
AT1G69460.1,271.0,226.0,225.0,284.0,239.0,208.0,193.0,205.0,203.0
AT1G04310.2,2.66401e-08,57.1389,69.0833,100.0,102.0,113.0,34.0833,68.371,74.0833
AT1G04310.1,289.0,109.861,65.9167,0.0,0.0,0.0,65.9167,33.629,65.9167
AT1G08080.1,9.0,12.0,5.0,22.0,12.0,10.0,15.0,5.0,17.0
AT2G37678.1,136.023,69.0,57.311,26.0,55.0,72.2677,66.0,41.0,37.0
AT2G37678.2,4.97689,0.0,16.689,0.0,0.0,4.73232,0.0,0.0,0.0
AT3G56070.2,67.4478,64.5532,35.3404,58.5532,0.0,33.3909,50.5532,46.8403,27.3784
AT3G56070.1,154.552,70.4468,89.6596,70.4468,118.0,49.6091,70.4468,63.1597,101.622
AT5G15420.1,0.0,2.72798,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AT5G06020.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT3G15251.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G75550.2,0.0,1.41817,1.0,0.0,0.0,0.0,0.0,0.0,2.0
AT1G75550.1,3.0,1.58183,0.0,0.0,0.0,0.0,0.0,2.0,0.0
AT1G71890.1,5.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0
AT1G05430.1,511.0,336.0,283.0,272.0,252.0,271.0,322.0,231.0,305.0
AT4G29810.3,169.873,100.246,100.856,110.632,37.5437,8.63684,63.7729,21.8377,18.8985
AT4G29810.1,1397.45,1121.04,614.698,381.807,605.812,768.941,719.15,433.108,518.309
AT4G29810.2,1120.68,696.709,575.446,651.56,441.644,431.422,363.077,645.054,487.792
AT3G02780.1,1362.56,956.356,793.157,676.357,407.349,752.843,837.929,675.384,710.442
AT3G02780.2,202.8,168.774,112.463,99.8291,197.229,115.548,59.2743,50.5075,25.0852
AT4G26560.1,29.0,27.0,28.0,11.0,28.0,26.0,27.0,23.0,21.0
AT1G80870.1,236.0,159.0,144.0,40.0,60.0,64.0,48.0,70.0,60.0
AT4G23670.1,109.0,68.0,75.0,92.0,44.0,80.0,78.0,43.0,81.0
AT2G46225.3,41.8082,9.94341,25.3482,0.0,8.26016,0.0,0.0,0.0,9.94624
AT2G46225.2,30.0622,5.68038,6.7393,0.0,5.05026,0.0,7.34494,7.7555,11.8909
AT2G46225.1,66.1296,65.3762,38.9125,81.0,91.6896,97.0,109.655,89.2445,81.1629
AT5G18730.1,2.0,8.0,0.0,0.0,0.0,2.0,1.0,2.0,4.06256
AT5G67570.1,618.0,356.0,357.0,217.0,241.0,309.0,254.0,254.0,348.0
AT1G75310.1,515.826,170.152,191.806,31.8886,211.808,292.866,150.492,114.077,279.741
AT1G75310.2,2984.17,1623.85,1576.19,1397.11,1365.19,1254.13,1038.51,1252.92,1326.26
AT5G29054.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT2G27700.2,0.0,0.130069,0.0507494,0.0,0.0600809,0.141047,0.0,0.0634379,4.0
AT2G27700.1,0.0,1.86993,0.949251,0.0,0.939919,1.85895,0.0,0.936562,0.0
AT1G02010.4,22.0692,0.945116,28.1599,4.37211,0.000519431,14.735,31.7138,40.4642,1.70044
AT1G02010.6,28.9985,19.6866,0.0,0.0,0.0,44.6322,44.599,33.1475,48.8745
AT1G02010.1,123.906,0.0,74.8101,0.0,0.0,14.1649,14.6036,0.0,0.0
AT1G02010.5,51.6178,68.3626,0.121237,67.6521,54.3031,15.1054,0.0,0.000746547,25.4808
AT1G02010.2,34.4089,36.3853,47.7371,12.9758,35.6964,49.3625,4.65344,13.9455,1.74875
AT1G02010.3,0.0,42.6203,5.1717,0.0,0.0,0.0,23.4302,13.442,54.1955
AT1G47900.1,361.633,268.316,198.315,267.92,122.287,180.208,245.229,221.754,274.553
AT1G47900.3,214.367,73.6413,101.685,0.0,73.6908,7.1528,9.16315,48.7063,112.447
AT1G47900.2,2.01592e-06,0.0425607,7.24349e-08,0.0803924,0.0222528,101.639,2.60783,0.539658,0.0
AT5G57625.1,0.0,0.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0
AT4G02725.1,100.847,105.773,92.4864,121.248,35.2746,149.402,81.7588,84.0542,75.641
AT4G02725.2,44.9876,38.2108,20.2307,0.0,38.2154,17.308,7.41293,30.0755,69.5088
AT1G14315.2,7.0,1.0,0.0,0.0,0.0,1.0,1.9094,0.0,0.0
AT1G14315.1,0.0,1.0,0.0,0.0,0.0,0.0,7.0906,0.0,0.0
AT5G66440.1,135.0,69.0,87.0,34.0,45.0,58.0,30.0,19.0,32.0
AT4G35440.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.84022,0.0
AT4G35440.1,13.0,6.65977,7.0,0.0,3.32989,13.0,9.0,0.0,11.0996
AT3G52460.1,110.0,68.0,77.0,53.0,33.0,57.0,43.0,66.0,64.0
AT4G26240.1,387.277,244.345,181.458,180.0,187.366,134.15,254.539,168.821,204.532
AT3G55380.2,211.114,116.862,110.086,30.4828,60.8448,43.4483,119.793,83.8448,127.5
AT3G55380.1,162.886,125.138,88.9138,230.517,69.1552,118.552,92.2069,69.1552,95.5
AT2G16953.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AT2G22320.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G26760.1,6.0,5.0,2.0,0.0,0.0,2.0,6.0,1.0,2.0
AT1G05250.1,32.0,13.0,7.0,20.0,41.0,3.0,32.0,23.0,11.0
AT3G44560.1,2.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0
AT3G44560.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT3G44560.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G67260.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G67260.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G67260.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT4G31950.1,5926.96,2664.97,2606.97,2385.48,2510.0,1836.98,2057.0,983.971,1570.99
AT5G51680.1,163.516,150.441,75.648,153.606,193.795,270.148,427.979,453.356,427.813
AT4G10925.1,159.132,133.879,173.165,0.0,57.2063,87.1245,84.3917,141.213,197.679
AT4G10925.5,67.2956,46.4231,64.6805,0.0,50.6797,0.0,0.0,0.0,27.7415
AT4G10925.4,85.6818,68.4592,23.0307,33.8647,13.6339,33.0802,74.4978,33.2261,46.5792
AT4G10925.2,36.2097,0.0,0.0,2.40681e-07,34.4801,0.0,0.0,0.0,0.0
