target_id,control.1,control.2,control.3,abf2.1,abf2.2,abf2.3,abf3.1,abf3.2,abf3.3
AT5G16970.1,256,139,175,183,154,159,154,104,112
AT4G32100.1,0,0,0,0,0,0,0,0,0
AT2G43120.2,10841,5363,4393,5624,5828,5871,7748,5542,5560
AT2G43120.1,183,532,179,884,731,122,489,293,518
AT1G30814.1,0,0,0,0,0,0,0,0,0
AT1G30814.4,0,0,0,0,0,0,0,0,0
AT1G30814.2,160,50,37,57,38,44,42,34,24
AT1G30814.3,270,160,140,64,122,122,106,75,99
AT3G18710.1,17561,14316,9362,8869,8472,9699,10366,10212,9460
AT4G25880.4,312,322,385,757,208,353,146,196,127
AT4G25880.2,511,318,496,256,0,1,24,0,571
AT4G25880.5,2105,1141,701,958,644,866,1050,873,978
AT4G25880.1,1236,894,669,0,666,599,497,384,279
AT4G25880.3,20,0,0,0,0,0,0,0,0
AT1G78930.1,406,208,190,218,142,198,206,154,205
AT3G07950.1,142,126,95,49,60,70,57,85,71
AT4G03450.2,4,0,0,0,2,0,0,2,0
AT4G03450.1,0,0,0,0,0,1,0,0,0
AT1G71695.1,66,74,47,105,137,66,193,194,228
AT1G58983.1,2114,1738,1501,1272,831,1014,1289,1166,1352
AT1G12980.1,16,5,5,0,2,4,2,1,7
AT5G41480.1,207,106,103,71,98,139,91,79,143
AT5G15008.1,0,0,0,0,0,0,0,0,0
AT3G51870.1,364,197,194,157,160,202,211,150,219
AT4G29950.3,238,138,153,3,97,132,167,79,308
AT4G29950.1,1630,1070,1264,2227,1250,1741,901,1911,1164
AT4G29950.2,1218,917,420,358,516,528,925,355,1406
AT3G18310.1,438,290,258,167,157,164,241,195,262
AT5G07360.3,322,216,149,131,106,155,155,134,190
AT5G07360.1,22,0,22,0,22,0,22,22,20
AT5G07360.2,0,0,0,0,0,0,0,20,0
AT4G08535.1,0,0,0,0,0,0,0,0,0
AT4G08535.3,1,1,0,0,1,0,2,1,0
AT4G08535.2,4,0,3,0,0,0,0,0,2
AT4G26490.1,96,48,54,69,36,31,49,34,53
AT5G46240.1,24,20,22,0,7,8,0,10,12
AT5G62260.3,491,278,247,0,236,196,236,245,169
AT5G62260.1,312,234,158,452,53,160,171,23,203
AT5G62260.2,22,21,19,0,0,0,11,19,0
AT4G16955.1,0,0,0,7,0,0,4,0,0
AT3G25717.1,18,6,14,0,7,7,26,10,13
AT1G45223.1,0,0,0,0,0,0,0,0,0
AT5G35715.1,0,0,0,0,0,0,0,0,0
AT5G41908.1,8,2,1,0,2,2,3,2,2
AT2G21390.1,1707,1137,994,726,762,970,673,809,938
AT3G48330.2,159,133,60,0,39,138,104,73,106
AT3G48330.3,55,31,22,37,14,35,21,15,10
AT3G48330.4,10,19,0,0,21,0,7,10,0
AT3G48330.1,610,259,295,213,306,208,310,174,290
AT4G32710.1,153,88,79,107,70,101,67,71,96
AT3G46440.1,449,328,284,237,183,220,232,235,260
AT3G46440.2,0,21,10,0,11,22,18,0,24
AT2G21930.1,0,2,0,0,4,0,4,0,2
AT2G21930.2,5,0,0,0,0,0,0,0,0
