target_id,control.1,control.2,control.3,abf2.1,abf2.2,abf2.3,abf3.1,abf3.2,abf3.3
AT5G16970.1,9.12726,7.70452,11.3429,13.146,11.9433,11.0491,10.3484,8.37136,7.87009
AT4G32100.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT2G43120.2,420.64,322.272,309.348,439.347,490.848,444.236,566.443,483.553,423.404
AT2G43120.1,7.01799,31.5073,12.4442,68.0428,60.7316,9.0994,35.2221,25.259,38.8859
AT1G30814.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G30814.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT1G30814.2,5.10797,2.47645,2.16937,3.66155,2.64105,2.72871,2.56079,2.46358,1.52261
AT1G30814.3,12.5229,11.5277,11.8022,6.04388,12.3409,11.1085,9.27277,7.8691,9.05411
AT3G18710.1,439.447,554.761,425.135,446.859,460.189,473.252,488.716,574.655,464.57
AT4G25880.4,5.09583,8.14092,11.4039,24.8743,7.38148,11.2591,4.51918,7.2002,4.06947
AT4G25880.2,8.03224,7.74446,14.1646,8.10138,6.78125e-07,0.0428674,0.725469,0.00724653,17.6136
AT4G25880.5,34.58,29.0394,20.896,31.7035,22.9685,27.7419,32.5124,32.2406,31.5317
AT4G25880.1,18.1482,20.3259,17.8357,2.86181e-07,21.2138,17.1487,13.7575,12.6881,8.04042
AT4G25880.3,0.3354,0.000697034,0.000214921,0.0012112,0.00731007,0.0,0.0,4.26427e-07,1.84134e-08
AT1G78930.1,8.68028,6.88649,7.3716,9.38432,6.59006,8.25431,8.29779,7.40401,8.6013
AT3G07950.1,5.26012,7.22778,6.38604,3.65462,4.8245,5.05608,3.97805,7.08053,5.16141
AT4G03450.2,0.0935785,0.0,0.0,0.0,0.101564,0.0,0.0,0.105217,0.0
AT4G03450.1,0.0,0.0,0.0,0.0,0.0,0.0420342,0.0,0.0,0.0
AT1G71695.1,2.27689,3.95328,2.94237,7.29334,10.2592,4.43967,12.5442,15.0501,15.4361
AT1G58983.1,91.2482,116.207,117.575,110.547,77.919,85.3355,104.861,113.244,114.518
AT1G12980.1,0.674051,0.326189,0.382246,0.0,0.182892,0.32858,0.158741,0.0947352,0.578726
AT5G41480.1,5.52072,4.37783,4.98498,3.81261,5.67342,7.22851,4.57251,4.73796,7.48452
AT5G15008.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT3G51870.1,11.9333,10.0012,11.5414,10.3633,11.386,12.9127,13.0325,11.0583,14.0898
AT4G29950.3,3.67055,3.30313,4.27615,0.114385,3.24478,3.9743,4.86074,2.75568,9.32856
AT4G29950.1,24.0066,24.4036,33.7903,66.0593,39.983,50.0077,25.0158,63.3017,33.6404
AT4G29950.2,18.5451,21.6224,11.6131,10.9827,17.0513,15.7008,26.5487,12.179,42.0043
AT3G18310.1,7.24683,7.43018,7.7463,5.56326,5.63855,5.29086,7.5124,7.25517,8.50703
AT5G07360.3,6.54343,6.78378,5.5072,5.34935,4.69454,6.12958,5.92978,6.14072,7.59752
AT5G07360.1,0.433259,0.0,0.786228,0.0,0.940462,0.0,0.816455,0.974287,0.76468
AT5G07360.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0174834,0.987774,0.0
AT4G08535.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT4G08535.3,0.080119,0.0733489,0.0,0.0,0.102816,0.0,0.178478,0.106514,0.0
AT4G08535.2,0.156711,0.0,0.198013,0.0,0.0,0.0,0.0,0.0,0.142759
AT4G26490.1,5.09301,3.9434,5.19873,7.37039,4.14571,3.20681,4.89764,4.05621,5.518
AT5G46240.1,0.375839,0.485007,0.625193,0.0,0.237948,0.244281,0.0,0.352152,0.368786
AT5G62260.3,13.1179,11.5114,11.9847,0.000967388,13.7342,10.2444,11.8901,14.7621,8.86412
AT5G62260.1,8.43071,9.79145,7.75923,24.5767,3.10293,8.41969,8.71142,1.42256,10.7797
AT5G62260.2,0.586584,0.872407,0.930561,0.0,0.0,0.0,0.534587,1.13507,0.0
