"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT5G16970.1",149.032448362578,-0.112023591397897,0.272720939332011,-0.410762707375099,0.681246540911492,0.98550747053184
"AT4G32100.1",0,NA,NA,NA,NA,NA
"AT2G43120.2",6316.16808601763,0.456139758728761,0.174956187278744,2.60716563285658,0.00912951867134239,0.0854351247280687
"AT2G43120.1",381.443148337826,0.906104263278859,0.592310370405143,1.52977950168098,0.12607131710909,0.541311381634861
"AT1G30814.1",0,NA,NA,NA,NA,NA
"AT1G30814.4",0,NA,NA,NA,NA,NA
"AT1G30814.2",49.3265764324381,-0.617933633674192,0.552160899985626,-1.1191187816636,0.263089468288819,0.753045195844833
"AT1G30814.3",129.879954687988,-0.490382317400345,0.195206555420468,-2.51212013010566,0.0120008228899743,0.105463327900881
"AT3G18710.1",11461.6812154757,0.0683666536574966,0.162581408021363,0.420507206140774,0.674114966234526,0.982866845485045
"AT4G25880.4",241.77568048695,-0.680133800987886,0.432947582888876,-1.57093797925754,0.116197055669139,0.516334728280383
"AT4G25880.2",295.53581447154,-0.786980274208153,2.06922750222487,-0.380325640057451,NA,NA
"AT4G25880.5",1068.2259124139,0.152563713974235,0.210659733695414,0.724218678614786,0.468931493008394,0.923332769579341
"AT4G25880.1",604.213553968922,-0.738778501680528,0.269127686065542,-2.74508547404004,0.00604951392516955,0.0613227698090762
"AT4G25880.3",1.91951038267618,-4.17192887499881,3.92645950719904,-1.06251671954077,0.288001171849653,NA
"AT1G78930.1",214.371724688423,0.0454642061687962,0.174033937199078,0.261237589061664,0.793909292373648,0.99961032935208
"AT3G07950.1",92.2903755035141,-0.259392168378325,0.359666156870078,-0.721202602534621,0.470784870798258,0.924333667352809
"AT4G03450.2",0.820333520100488,0.117709336080171,3.94548536750804,0.0298339304587298,0.97619949821056,NA
"AT4G03450.1",0,NA,NA,NA,NA,NA
"AT1G71695.1",145.814210178875,2.19602094029407,0.31547524201981,6.96099296488112,3.37882648500284e-12,1.84356562216767e-10
"AT1G58983.1",1481.17574230416,-0.00540929845253067,0.149667368851107,-0.0361421363524604,0.971169024309527,0.999627457288654
"AT1G12980.1",5.07137478569488,-0.782870529476248,1.14526189091608,-0.683573369275424,0.494244605693899,0.932991630053532
"AT5G41480.1",114.901057420019,0.13272947382911,0.297625220186426,0.445961782895854,0.655624852180122,0.980873170380256
"AT5G15008.1",0,NA,NA,NA,NA,NA
"AT3G51870.1",211.927947115826,0.154599144292812,0.176620530564311,0.875318083344334,0.381400857463249,0.870477628100088
"AT4G29950.3",175.878103413557,0.541498051545207,0.491195601192625,1.10240818572163,0.270284254417431,0.761049910096433
