"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031123","RNA 3'-end processing","11/366","71/21192",0.154929577464789,8.97067651812514,8.91826671698913,3.55928706956176e-08,3.30157974488565e-05,2.92853660727894e-05,"AT5G13480/AT5G67240/AT2G25850/AT4G19440/AT1G61010/AT3G08800/AT1G54440/AT4G14790/AT3G46210/AT2G32415/AT1G22660",11
"GO:0006325","chromatin organization","22/366","323/21192",0.0681114551083591,3.94376490889712,7.06751765483224,5.35536049454282e-08,3.30157974488565e-05,2.92853660727894e-05,"AT3G20020/AT5G61060/AT1G28060/AT2G22720/AT2G44980/AT2G27040/AT5G55300/AT5G50780/AT3G20810/AT2G40930/AT1G09060/AT5G49020/AT5G26040/AT3G12550/AT5G43990/AT1G08620/AT4G29940/AT1G54440/AT2G23740/AT3G49840/AT1G63490/AT4G13520",22
"GO:0006338","chromatin remodeling","21/366","306/21192",0.0686274509803922,3.97364191578271,6.9460048571609,9.50990734496036e-08,3.64777949948988e-05,3.2356194988432e-05,"AT3G20020/AT5G61060/AT1G28060/AT2G22720/AT2G44980/AT2G27040/AT5G55300/AT5G50780/AT3G20810/AT2G40930/AT1G09060/AT5G49020/AT5G26040/AT3G12550/AT5G43990/AT1G08620/AT4G29940/AT1G54440/AT2G23740/AT1G63490/AT4G13520",21
"GO:0140013","meiotic nuclear division","13/366","119/21192",0.109243697478992,6.32538917206227,7.7228034947533,1.47637567608387e-07,3.64777949948988e-05,3.2356194988432e-05,"AT1G77320/AT4G32200/AT1G35530/AT2G06510/AT5G41150/AT5G19400/AT3G09660/AT5G63370/AT2G46980/AT1G01690/AT3G19210/AT1G50240/AT1G60460",13
"GO:0051321","meiotic cell cycle","16/366","185/21192",0.0864864864864865,5.00770934869296,7.25794044928573,1.47922931852793e-07,3.64777949948988e-05,3.2356194988432e-05,"AT1G77320/AT5G54260/AT4G32200/AT1G35530/AT2G06510/AT5G41150/AT5G19400/AT3G09660/AT5G63370/AT2G46980/AT1G08620/AT1G01690/AT5G40820/AT3G19210/AT1G50240/AT1G60460",16
"GO:0061982","meiosis I cell cycle process","11/366","83/21192",0.132530120481928,7.67371123839621,8.0758076082009,1.86503809559406e-07,3.83265328644579e-05,3.39960452863548e-05,"AT1G77320/AT5G54260/AT4G32200/AT1G35530/AT2G06510/AT5G41150/AT5G63370/AT2G46980/AT1G01690/AT3G19210/AT1G60460",11
"GO:1903046","meiotic cell cycle process","15/366","168/21192",0.0892857142857143,5.16978922716628,7.19323760978631,2.40074517471647e-07,4.22874114346487e-05,3.7509387015495e-05,"AT1G77320/AT5G54260/AT4G32200/AT1G35530/AT2G06510/AT5G41150/AT5G19400/AT3G09660/AT5G63370/AT2G46980/AT1G08620/AT1G01690/AT3G19210/AT1G50240/AT1G60460",15
"GO:0040029","epigenetic regulation of gene expression","16/366","216/21192",0.0740740740740741,4.28901032179721,6.44086373578642,1.19930048733636e-06,0.000180909994918227,0.000160469103786262,"AT5G61060/AT1G28060/AT2G27040/AT5G50780/AT3G20810/AT2G40930/AT1G09060/AT5G26040/AT3G12550/AT5G43990/AT1G08620/AT4G29940/AT1G54440/AT2G23740/AT1G63490/AT4G13520",16
"GO:0007127","meiosis I","10/366","81/21192",0.123456790123457,7.14835053632868,7.349538393557,1.32051091181188e-06,0.000180909994918227,0.000160469103786262,"AT1G77320/AT4G32200/AT1G35530/AT2G06510/AT5G41150/AT5G63370/AT2G46980/AT1G01690/AT3G19210/AT1G60460",10
"GO:0010629","negative regulation of gene expression","22/366","398/21192",0.0552763819095477,3.20059312958234,5.87523991047774,1.87645891160917e-06,0.00023136738380141,0.000205225348332834,"AT1G31290/AT5G61060/AT1G28060/AT1G06710/AT2G27040/AT1G21580/AT5G50780/AT1G55500/AT3G20810/AT1G09060/AT2G17970/AT5G19400/AT3G12550/AT3G49500/AT5G43990/AT1G08620/AT4G29940/AT1G54440/AT2G23740/AT3G46210/AT1G63490/AT2G32415",22
