Genotype,HEA,TGW,HEI,RIP,PM
HEB_01_001,62.0,53.63,53.0,35.0,7.0
HEB_01_003,67.0,57.62,58.0,34.0,5.0
HEB_01_004,57.0,52.15,74.0,40.0,1.0
HEB_01_005,69.0,54.16,60.0,34.0,6.0
HEB_01_013,64.0,51.4,60.0,34.0,1.0
HEB_01_021,81.0,56.44,58.0,31.0,1.0
HEB_01_022,95.0,53.27,59.621848739495796,32.78991596638655,3.1559633027522938
HEB_01_023,67.0,59.55,55.0,35.0,7.0
HEB_01_025,53.0,59.1,40.0,42.0,1.0
HEB_01_030,69.0,54.53,62.0,36.0,7.0
HEB_01_031,60.0,46.84,37.0,30.0,3.1559633027522938
HEB_01_032,64.0,58.8,74.0,34.0,1.0
HEB_01_033,60.0,58.79,57.0,37.0,1.0
HEB_01_038,69.0,44.84,60.0,30.0,1.0
HEB_01_041,71.0,51.9,46.0,31.0,1.0
HEB_01_042,69.0,50.54,53.0,33.0,3.1559633027522938
HEB_01_047,69.0,48.01,54.0,33.0,1.0
HEB_01_050,71.0,47.58,54.0,32.0,1.0
HEB_01_053,74.0,49.09,47.0,29.0,6.0
HEB_01_055,71.0,51.18,45.0,32.0,3.1559633027522938
HEB_01_057,67.0,49.39,40.0,35.0,7.0
HEB_01_071,65.0,51.35,70.0,32.0,5.0
HEB_01_072,69.0,56.04,56.0,33.0,1.0
HEB_01_074,67.0,55.28,77.0,31.0,1.0
HEB_01_075,74.0,52.03,65.0,29.0,1.0
HEB_01_077,69.0,56.57,67.0,33.0,1.0
HEB_01_079,66.0,48.81,74.0,32.0,1.0
HEB_01_080,69.0,54.43,53.0,30.0,5.0
HEB_01_082,62.0,56.32,48.0,35.0,8.0
HEB_01_085,60.0,53.52,57.0,35.0,1.0
HEB_01_086,67.0,51.87,82.0,31.0,1.0
HEB_01_087,62.0,56.56,86.0,37.0,1.0
HEB_01_090,64.0,54.04,55.0,35.0,5.0
HEB_01_091,67.0,54.28,74.0,30.0,1.0
HEB_01_092,62.0,51.39,68.0,35.0,3.1559633027522938
HEB_01_093,55.0,52.01,53.0,40.0,4.0
HEB_01_096,64.0,59.99,80.0,33.0,1.0
HEB_01_097,62.0,57.97,73.0,37.0,1.0
HEB_01_099,55.0,56.77,60.0,33.0,1.0
HEB_01_101,68.0,55.29,50.0,33.0,1.0
HEB_01_103,64.0,53.74,58.0,35.0,1.0
HEB_01_104,60.0,56.32,51.0,37.0,1.0
HEB_01_106,67.0,51.75,42.0,36.0,3.0
HEB_01_109,64.0,53.84,58.0,35.0,1.0
