Nr	Spross	Wurzel
1	13.3	8.8
2	27.1	9.9
3	0.9	0.3
4	10	5.5
5	11.8	4.2
6	12.5	5.25
7	18.4	11.8
8	22.3	10.45
9	20.3	10.85
10	26.5	15.2
11	22.6	2.65
12	22.5	15.35
13	26.7	14.8
14	15.1	8.35
15	22.3	10.7
16	27.5	17.3
17	21.3	14.35
18	22.7	16.2
19	17.2	13.5
20	10.8	6.5
21	13.3	11.2
22	19.9	14.25
23	13.2	7.15
24	19.3	11.5
25	25	21.05
26	13.3	6.6
27	6.2	1.35
28	20.5	14.5
29	14.6	11
30	19.2	14.35
31	11.9	10
32	5.3	0.8
33	18.1	12
34	25.9	10.1
35	15.5	12.25
36	34.5	18.4
37	23.4	15.2
38	17.2	13.25
39	20.8	19.5
40	11.1	6.1
41	12.8	7.1
42	13.7	7.55
43	7.7	6.25
44	5.7	1
45	32.8	19.25
46	24.8	15.35
47	31.1	15.4
48	18.6	12.35
49	11.9	6.25
50	7.8	4.4
51	7.7	33.1
52	17.2	9.2
53	24.8	18.05
54	16.3	8.25
55	23.3	16.2
56	33.4	21.05
57	18.1	11.4
58	23	16.05
59	27.6	19.1
60	17.4	11.15
61	9.6	4.65
62	34.8	26.1
63	26.5	20.25
64	25.4	12.9
65	36.3	21.35
66	29.5	21.75
67	28.2	19.4
68	26.3	17.8
69	38.2	27.3
70	32.7	24.1
71	12.95	3
72	9.66	2.35
73	13.42	2.7
74	10.73	5.45
75	6.57	1.9
76	13.83	2.55
77	4.03	3.5
78	9.37	4.8
79	6.2	5.5
80	10.66	6
81	8.19	0.15
82	10.48	3.65
83	10.14	2.7
84	8.93	2.55
85	7.3	1.5
86	4.78	2.65
87	6.72	4.25
88	5.84	3.25
89	3.83	1.7
90	4.92	1.85
91	19.36	16.84
92	13.42	12.53
93	14.71	18.3
94	14.41	18.2
95	23.9	16.01
96	7.75	3.75
97	12.02	12.6
98	13.26	2.55
99	8.81	4.25
100	6.8	6.05
101	6.23	7.25
102	4.95	0.25
103	5.97	8.35
104	10.11	5.65
105	8.55	8.65
106	10.33	7.7
107	10.75	1.25
108	8.59	4.25
109	5.41	4.2
110	14.24	5.9
111	5.68	3.4
112	8.33	1.95
113	9.84	6.2
114	5.67	3.4
115	7.29	3.55
116	9.88	5.32
117	7.72	14.45
118	18.1	3.8
119	6.98	2.82
120	9.22	3.89
121	7.64	5.075
122	11.4	5.155
123	9.48	6.45
124	13.1	6.07
125	6.8	6.45
126	15.8	6.735
127	10.84	7.39
128	10.92	9.62
129	4.54	8.55
130	6.24	9.98
131	5.57	7.45
132	10.72	8.3
133	10.55	4.41
134	14.75	6.1
135	14.42	7.5
136	18.55	5.3
137	17.66	7
138	10.93	9.95
139	18.17	6.35
140	15.84	10.2
141	18.08	1.75
142	15.45	9.5
143	13.04	2.8
