Nr,Spross,Wurzel,ratio
1,13.3,8.8,0.6018099547511312
2,27.1,9.9,0.7324324324324325
3,0.9,0.3,0.75
4,10.0,5.5,0.6451612903225806
5,11.8,4.2,0.7375
6,12.5,5.25,0.704225352112676
7,18.4,11.8,0.609271523178808
8,22.3,10.45,0.6809160305343511
9,20.3,10.85,0.651685393258427
10,26.5,15.2,0.6354916067146282
11,22.6,2.65,0.8950495049504951
12,22.5,15.35,0.5944517833553501
13,26.7,14.8,0.6433734939759036
14,15.1,8.35,0.6439232409381663
15,22.3,10.7,0.6757575757575758
16,27.5,17.3,0.6138392857142857
17,21.3,14.35,0.5974754558204769
18,22.7,16.2,0.583547557840617
19,17.2,13.5,0.5602605863192183
20,10.8,6.5,0.6242774566473989
21,13.3,11.2,0.5428571428571429
22,19.9,14.25,0.582723279648609
23,13.2,7.15,0.6486486486486486
24,19.3,11.5,0.6266233766233766
25,25.0,21.05,0.5428881650380022
26,13.3,6.6,0.6683417085427137
27,6.2,1.35,0.8211920529801324
28,20.5,14.5,0.5857142857142857
29,14.6,11.0,0.5703125
30,19.2,14.35,0.5722801788375559
31,11.9,10.0,0.54337899543379
32,5.3,0.8,0.8688524590163935
33,18.1,12.0,0.6013289036544851
34,25.9,10.1,0.7194444444444444
35,15.5,12.25,0.5585585585585585
36,34.5,18.4,0.6521739130434783
37,23.4,15.2,0.6062176165803109
38,17.2,13.25,0.5648604269293924
39,20.8,19.5,0.5161290322580646
40,11.1,6.1,0.6453488372093024
41,12.8,7.1,0.6432160804020102
42,13.7,7.55,0.6447058823529411
43,7.7,6.25,0.5519713261648745
44,5.7,1.0,0.8507462686567164
45,32.8,19.25,0.6301633045148896
46,24.8,15.35,0.6176836861768369
47,31.1,15.4,0.6688172043010753
48,18.6,12.35,0.6009693053311793
49,11.9,6.25,0.6556473829201103
50,7.8,4.4,0.639344262295082
51,7.7,33.1,0.18872549019607843
52,17.2,9.2,0.6515151515151515
53,24.8,18.05,0.5787631271878646
54,16.3,8.25,0.6639511201629328
55,23.3,16.2,0.589873417721519
56,33.4,21.05,0.613406795224977
57,18.1,11.4,0.6135593220338984
58,23.0,16.05,0.58898847631242
59,27.6,19.1,0.5910064239828694
60,17.4,11.15,0.6094570928196147
61,9.6,4.65,0.6736842105263158
62,34.8,26.1,0.5714285714285714
63,26.5,20.25,0.5668449197860963
64,25.4,12.9,0.6631853785900783
65,36.3,21.35,0.629661751951431
66,29.5,21.75,0.5756097560975609
67,28.2,19.4,0.592436974789916
68,26.3,17.8,0.5963718820861678
69,38.2,27.3,0.583206106870229
70,32.7,24.1,0.5757042253521126
71,12.95,3.0,0.8119122257053292
72,9.66,2.35,0.8043297252289758
73,13.42,2.7,0.8325062034739453
74,10.73,5.45,0.6631644004944376
75,6.57,1.9,0.7756788665879575
76,13.83,2.55,0.8443223443223444
77,4.03,3.5,0.5351925630810093
78,9.37,4.8,0.6612561750176429
79,6.2,5.5,0.5299145299145299
80,10.66,6.0,0.6398559423769508
81,8.19,0.15,0.9820143884892086
82,10.48,3.65,0.7416843595187544
83,10.14,2.7,0.7897196261682243
84,8.93,2.55,0.7778745644599303
85,7.3,1.5,0.8295454545454545
86,4.78,2.65,0.6433378196500673
87,6.72,4.25,0.6125797629899727
88,5.84,3.25,0.6424642464246425
89,3.83,1.7,0.6925858951175407
90,4.92,1.85,0.7267355982274741
91,19.36,16.84,0.5348066298342541
92,13.42,12.53,0.5171483622350674
93,14.71,18.3,0.44562253862465917
94,14.41,18.2,0.4418889911070224
95,23.9,16.01,0.5988474066649963
96,7.75,3.75,0.6739130434782609
97,12.02,12.6,0.4882209585702681
98,13.26,2.55,0.8387096774193549
99,8.81,4.25,0.6745788667687596
100,6.8,6.05,0.5291828793774319
101,6.23,7.25,0.4621661721068249
102,4.95,0.25,0.9519230769230769
103,5.97,8.35,0.4168994413407821
104,10.11,5.65,0.641497461928934
105,8.55,8.65,0.4970930232558139
106,10.33,7.7,0.5729339988907376
107,10.75,1.25,0.8958333333333334
108,8.59,4.25,0.6690031152647975
109,5.41,4.2,0.562955254942768
110,14.24,5.9,0.7070506454816285
111,5.68,3.4,0.6255506607929515
112,8.33,1.95,0.8103112840466926
113,9.84,6.2,0.6134663341645885
114,5.67,3.4,0.6251378169790518
115,7.29,3.55,0.672509225092251
116,9.88,5.32,0.65
117,7.72,14.45,0.3482183130356338
118,18.1,3.8,0.8264840182648402
119,6.98,2.82,0.7122448979591837
120,9.22,3.89,0.7032799389778794
121,7.64,5.075,0.6008651199370821
122,11.4,5.155,0.6886137118695258
123,9.48,6.45,0.5951035781544256
124,13.1,6.07,0.6833594157537819
125,6.8,6.45,0.5132075471698113
126,15.8,6.735,0.7011315731084979
127,10.84,7.39,0.5946242457487657
128,10.92,9.62,0.5316455696202532
129,4.54,8.55,0.346829640947288
130,6.24,9.98,0.38471023427866835
131,5.57,7.45,0.42780337941628266
132,10.72,8.3,0.5636172450052576
133,10.55,4.41,0.7052139037433155
134,14.75,6.1,0.7074340527577937
135,14.42,7.5,0.6578467153284671
136,18.55,5.3,0.7777777777777778
137,17.66,7.0,0.716139497161395
138,10.93,9.95,0.5234674329501916
139,18.17,6.35,0.7410277324632952
140,15.84,10.2,0.6082949308755761
141,18.08,1.75,0.9117498739283914
142,15.45,9.5,0.6192384769539078
143,13.04,2.8,0.8232323232323232
