target_id,control.1,control.2,control.3,abf2.1,abf2.2,abf2.3,abf3.1,abf3.2,abf3.3
transcript:AT1G01010.1,998.0,0.0,671.0,319.0,310.0,408.0,398.0,381.0,396.0
transcript:AT1G01020.2,235.418,0.0,166.058,18.3636,84.4583,139.352,152.613,98.865,140.149
transcript:AT1G01020.1,16.3031,3.04159e-05,8.16261,103.636,135.357,61.3126,40.2225,50.0717,82.3405
transcript:AT1G01020.4,4.08085e-07,0.0,13.0731,0.0,25.2556,32.9323,20.4641,37.3039,0.0
transcript:AT1G01020.5,160.664,8.27545,74.1906,0.0,11.4391,42.3643,116.184,12.7593,14.7823
transcript:AT1G01040.1,2145.4,0.0,1054.86,745.949,907.904,741.91,621.654,805.695,1118.47
transcript:AT1G01040.2,423.598,0.0,266.14,276.035,224.096,420.09,449.346,292.305,259.526
transcript:AT1G01050.1,196.45,0.0,87.0,69.9239,66.9502,111.183,112.0,92.0,91.0795
transcript:AT1G01060.6,60.9889,0.0,23.6478,0.0,25.1394,124.605,39.0835,19.2283,9.1984
transcript:AT1G01060.3,12.0749,0.0,1.12745,0.0,0.000542304,1.90958,0.0,47.1202,14.4346
transcript:AT1G01060.7,423.788,0.0,247.661,301.98,295.586,277.831,438.682,288.305,406.749
transcript:AT1G01060.2,194.321,0.0,0.00221886,2.64078e-07,94.6003,0.0139021,118.525,61.3179,40.8613
transcript:AT1G01060.4,1323.54,0.0,731.809,1035.13,743.532,656.115,891.988,587.958,862.274
transcript:AT1G01060.8,1379.47,0.0,469.858,776.918,964.929,817.115,897.139,702.608,968.006
transcript:AT1G01060.5,51.0374,0.0,87.5767,162.97,48.8551,0.446152,0.0,0.392639,161.548
transcript:AT1G01080.2,3.00445,0.0,11.5647,15.0,7.0,1.12448e-06,21.0,8.18011,12.5647
transcript:AT1G01090.1,155.0,0.0,85.0,58.0,52.0,60.0,71.0,77.0,84.0
transcript:AT1G01100.2,48.3309,0.0,24.6935,54.8887,29.3624,56.9688,84.1736,10.6909,59.2
transcript:AT1G01100.1,431.329,0.0,184.958,73.7925,150.093,130.199,172.639,223.443,251.071
transcript:AT1G01100.3,258.34,0.0,149.907,74.3188,143.545,77.7961,94.1876,97.5575,110.251
transcript:AT1G01120.1,703.0,0.0,483.0,246.0,202.0,238.0,259.0,400.0,312.0
transcript:AT1G01130.1,37.0,0.0,27.0,40.0,38.0,29.0,32.0,16.0,27.0657
transcript:AT1G01140.1,657.814,0.0,591.128,10.767,437.51,258.411,1380.04,141.004,449.28
transcript:AT1G01140.2,3118.8,0.0,1195.86,2047.49,1980.4,2338.6,1278.71,1398.39,1663.97
transcript:AT1G01140.3,3219.39,0.0,1852.01,3497.74,2535.09,3175.99,968.25,1452.61,1742.69
transcript:AT1G01160.1,899.378,0.0,447.754,388.865,399.393,439.552,529.302,393.899,494.973
transcript:AT1G04007.1,100.0,0.0,36.0,13.0,39.0,27.0,54.0,20.0,33.0
transcript:AT1G01170.1,9.62214,0.0,4.24571,0.0,0.0,16.4479,48.698,29.1009,34.0269
transcript:AT1G01180.1,193.0,0.0,112.0,156.0,133.0,155.0,474.0,353.0,449.0
transcript:AT1G01210.3,173.185,0.0,75.0586,155.057,52.7615,51.3462,100.605,79.5561,84.2456
