SNP,Chromosome,Position,DF,t Value,std Error,effect
SCRI_RS_136200,2,2.3,118,-1.46972453639861,NA,0.221256334373338
SCRI_RS_156845,2,4,118,-2.12330216982609,NA,0.0915337654319687
SCRI_RS_133377,2,6.3,118,-2.12916851517131,NA,0.0915337654319687
SCRI_RS_190048,2,6.3,118,-2.12916851517131,NA,0.0915337654319687
BOPA2_12_31497,2,8.6,118,-2.27601270770993,NA,0.0687179711705848
SCRI_RS_141771,2,8.6,118,-2.27601270770993,NA,0.0687179711705848
SCRI_RS_209516,2,10.4,118,-2.37063743471495,NA,0.0614752227334776
BOPA2_12_31284,2,15.4,118,-4.65277229102381,NA,0.000110100821380709
SCRI_RS_185319,2,15.4,118,-4.60537285370605,NA,0.000110100821380709
SCRI_RS_198643,2,15.4,118,-4.60537285370605,NA,0.000110100821380709
BK_12,2,23,118,-4.54893785497364,NA,0.000110100821380709
BK_14,2,23,118,-4.54893785497364,NA,0.000110100821380709
BK_15,2,23,118,-4.32970008739854,NA,0.000241436768181995
BK_16,2,23,118,-4.63362322405696,NA,0.000110100821380709
BOPA2_12_30871,2,23,118,-4.54893785497364,NA,0.000110100821380709
BOPA2_12_30872,2,23,118,-4.54893785497364,NA,0.000110100821380709
SCRI_RS_170337,2,23,118,-4.89883296316712,NA,0.000110100821380709
SCRI_RS_155612,2,24.8,118,-4.95144022511036,NA,0.000110100821380709
BOPA1_7032_201,2,26.8,118,-4.61436512349082,NA,0.000110100821380709
SCRI_RS_120182,2,33.9,118,-3.35430758385275,NA,0.00757492203807114
BOPA2_12_30657,2,39.7,118,-3.02954015847431,NA,0.0184600126185681
SCRI_RS_154981,2,41.2,118,-2.86053525812878,NA,0.0287704056861387
SCRI_RS_194318,2,44.4,118,-3.16919632966049,NA,0.0127956895911931
SCRI_RS_201800,2,48.4,118,-2.30197447236322,NA,0.0687179711705848
SCRI_RS_158928,2,50.5,118,-2.2805776564419,NA,0.0687179711705848
BOPA1_6384_866,2,52.2,118,-1.78931238701273,NA,0.172806384893321
SCRI_RS_224846,2,52.2,118,-1.78931238701273,NA,0.172806384893321
BOPA1_946_2500,2,54.2,118,-1.41811487286237,NA,0.235627942825142
SCRI_RS_144592,2,54.2,118,-1.41811487286237,NA,0.235627942825142
SCRI_RS_170235,2,56.2,118,-0.904154759531899,NA,0.412603798651502
SCRI_RS_240011,2,56.2,118,-1.33876955106046,NA,0.25566607241232
SCRI_RS_185710,2,58.1,118,-1.51607828273081,NA,0.214099705185563
BOPA1_4136_869,2,60.7,118,-0.863567014436665,NA,0.431821066642661
BOPA1_6911_866,2,60.7,118,-1.09117441377563,NA,0.344899541602432
