SNP,Chromosome,Position,DF,t Value,std Error,effect
SCRI_RS_136200,2,2.3,NA,NA,NA,0.857763663518366
SCRI_RS_156845,2,4,NA,NA,NA,0.974121948922773
SCRI_RS_133377,2,6.3,NA,NA,NA,0.000373061409245802
SCRI_RS_190048,2,6.3,NA,NA,NA,1
BOPA2_12_31497,2,8.6,NA,NA,NA,0.956107974381733
SCRI_RS_141771,2,8.6,NA,NA,NA,0.956107974381733
SCRI_RS_209516,2,10.4,NA,NA,NA,0.804314861856157
BOPA2_12_31284,2,15.4,NA,NA,NA,0.133541106277184
SCRI_RS_185319,2,15.4,NA,NA,NA,0.133541106277184
SCRI_RS_198643,2,15.4,NA,NA,NA,0.133541106277184
BK_12,2,23,NA,NA,NA,0.992694323410066
BK_14,2,23,NA,NA,NA,0.992694323410066
BK_15,2,23,NA,NA,NA,0.000408003329891773
BK_16,2,23,NA,NA,NA,0.956107974381733
BOPA2_12_30871,2,23,NA,NA,NA,0.992694323410066
BOPA2_12_30872,2,23,NA,NA,NA,0.992694323410066
SCRI_RS_170337,2,23,NA,NA,NA,0.861434637197293
SCRI_RS_155612,2,24.8,NA,NA,NA,0.227232874696926
BOPA1_7032_201,2,26.8,NA,NA,NA,0.133541106277184
SCRI_RS_120182,2,33.9,NA,NA,NA,0.133541106277184
BOPA2_12_30657,2,39.7,NA,NA,NA,0.292072047518291
SCRI_RS_154981,2,41.2,NA,NA,NA,0.322152565230066
SCRI_RS_194318,2,44.4,NA,NA,NA,0.721536672684951
SCRI_RS_201800,2,48.4,NA,NA,NA,0.322152565230066
SCRI_RS_158928,2,50.5,NA,NA,NA,0.322152565230066
BOPA1_6384_866,2,52.2,NA,NA,NA,0.133541106277184
SCRI_RS_224846,2,52.2,NA,NA,NA,0.133541106277184
BOPA1_946_2500,2,54.2,NA,NA,NA,0.133541106277184
SCRI_RS_144592,2,54.2,NA,NA,NA,0.133541106277184
SCRI_RS_170235,2,56.2,NA,NA,NA,0.133541106277184
SCRI_RS_240011,2,56.2,NA,NA,NA,0.111702645418062
SCRI_RS_185710,2,58.1,NA,NA,NA,0.0419117197316616
BOPA1_4136_869,2,60.7,NA,NA,NA,0.0577622835688203
BOPA1_6911_866,2,60.7,NA,NA,NA,0.0469317647592185
BOPA1_2284_1738,2,62.7,NA,NA,NA,0.217093072667538
BOPA1_4434_804,2,62.7,NA,NA,NA,0.227232874696926
SCRI_RS_153531,2,62.7,NA,NA,NA,0.0469317647592185
SCRI_RS_167713,2,62.7,NA,NA,NA,0.217093072667538
BOPA1_7187_382,2,64.9,NA,NA,NA,0.133541106277184
BOPA1_7660_476,2,64.9,NA,NA,NA,0.133541106277184
BOPA2_12_10719,2,64.9,NA,NA,NA,0.133541106277184
BOPA2_12_31383,2,64.9,NA,NA,NA,0.214111727667114
SCRI_RS_110043,2,64.9,NA,NA,NA,0.133541106277184
BOPA1_4037_916,2,66.3,NA,NA,NA,0.306577402865411
SCRI_RS_9469,2,68.1,NA,NA,NA,0.214111727667114
SCRI_RS_133539,2,74.2,NA,NA,NA,0.312832009630626
SCRI_RS_200291,2,76.1,NA,NA,NA,0.322152565230066
BOPA2_12_30897,2,80,NA,NA,NA,0.919697759624774
SCRI_RS_196853,2,80,NA,NA,NA,0.919697759624774
SCRI_RS_88704,2,80,NA,NA,NA,0.919697759624774
