Marker,Chr,Pos
SCRI_RS_136200,2,2.3
SCRI_RS_156845,2,4.0
SCRI_RS_133377,2,6.3
SCRI_RS_190048,2,6.3
BOPA2_12_31497,2,8.6
SCRI_RS_141771,2,8.6
SCRI_RS_209516,2,10.4
BOPA2_12_31284,2,15.4
SCRI_RS_185319,2,15.4
SCRI_RS_198643,2,15.4
BK_12,2,23.0
BK_14,2,23.0
BK_15,2,23.0
BK_16,2,23.0
BOPA2_12_30871,2,23.0
BOPA2_12_30872,2,23.0
SCRI_RS_170337,2,23.0
SCRI_RS_155612,2,24.8
BOPA1_7032_201,2,26.8
SCRI_RS_120182,2,33.9
BOPA2_12_30657,2,39.7
SCRI_RS_154981,2,41.2
SCRI_RS_194318,2,44.4
SCRI_RS_201800,2,48.4
SCRI_RS_158928,2,50.5
BOPA1_6384_866,2,52.2
SCRI_RS_224846,2,52.2
BOPA1_946_2500,2,54.2
SCRI_RS_144592,2,54.2
SCRI_RS_170235,2,56.2
SCRI_RS_240011,2,56.2
SCRI_RS_185710,2,58.1
BOPA1_4136_869,2,60.7
BOPA1_6911_866,2,60.7
BOPA1_2284_1738,2,62.7
BOPA1_4434_804,2,62.7
SCRI_RS_153531,2,62.7
SCRI_RS_167713,2,62.7
BOPA1_7187_382,2,64.9
BOPA1_7660_476,2,64.9
BOPA2_12_10719,2,64.9
BOPA2_12_31383,2,64.9
SCRI_RS_110043,2,64.9
BOPA1_4037_916,2,66.3
SCRI_RS_9469,2,68.1
SCRI_RS_133539,2,74.2
SCRI_RS_200291,2,76.1
BOPA2_12_30897,2,80.0
SCRI_RS_196853,2,80.0
SCRI_RS_88704,2,80.0
BOPA1_8632_1809,2,82.5
SCRI_RS_119261,2,82.5
SCRI_RS_155456,2,82.5
SCRI_RS_157236,2,82.5
SCRI_RS_176114,2,82.5
SCRI_RS_182039,2,82.5
SCRI_RS_211894,2,82.5
SCRI_RS_237481,2,82.5
BOPA1_11591_265,2,88.5
SCRI_RS_129223,2,88.5
SCRI_RS_135112,2,88.5
SCRI_RS_144778,2,88.5
SCRI_RS_222876,2,88.5
BOPA1_111_499,2,106.4
BOPA1_3180_1771,2,106.4
BOPA1_871_462,2,106.4
BOPA1_2464_1228,2,119.8
BOPA2_12_30690,2,119.8
SCRI_RS_139840,2,119.8
SCRI_RS_209551,2,120.7
SCRI_RS_142314,2,123.5
SCRI_RS_198883,2,123.5
SCRI_RS_106163,2,129.7
SCRI_RS_161490,2,132.6
BOPA2_12_10487,2,135.6
BOPA2_12_10950,2,135.6
SCRI_RS_172784,2,135.6
SCRI_RS_204274,2,135.6
SCRI_RS_234587,2,135.6
SCRI_RS_44952,2,135.6
SCRI_RS_152664,2,138.6
SCRI_RS_156013,2,138.6
SCRI_RS_174077,2,138.6
SCRI_RS_194653,2,138.6
SCRI_RS_116590,2,140.8
SCRI_RS_172136,2,142.6
SCRI_RS_73620,2,142.6
SCRI_RS_170209,2,144.4
SCRI_RS_139106,2,146.4
SCRI_RS_139115,2,146.4
SCRI_RS_142982,2,146.4
SCRI_RS_139737,2,148.2
