SNP,Chr,Pos,P.value,MAF,nobs,Effect,H&B.P.Value
SCRI_RS_136200,2,2.3,0.796962248999906,0.308333333333333,120,-0.788278055429341,0.92869018996177
SCRI_RS_156845,2,4,0.847658736639202,0.279166666666667,120,-0.63066205665398,0.96277288605934
SCRI_RS_133377,2,6.3,0.963041627586272,0.270833333333333,120,-0.767062237653535,0.971759052382423
SCRI_RS_190048,2,6.3,0.963041627586272,0.270833333333333,120,-0.767062237653535,0.971759052382423
BOPA2_12_31497,2,8.6,0.74964258500605,0.233333333333333,120,-0.968293609859409,0.925674660452977
SCRI_RS_141771,2,8.6,0.74964258500605,0.233333333333333,120,-0.968293609859409,0.925674660452977
SCRI_RS_209516,2,10.4,0.498450764102344,0.225,120,-0.526267618524699,0.790646039610614
BOPA2_12_31284,2,15.4,0.811390397101488,0.25,120,-4.23287671232922,0.933098956666711
SCRI_RS_185319,2,15.4,0.738325729221993,0.245833333333333,120,-4.79024581718334,0.925674660452977
SCRI_RS_198643,2,15.4,0.738325729221993,0.245833333333333,120,-4.79024581718334,0.925674660452977
BK_12,2,23,0.762929421789457,0.245833333333333,120,-1.75195665261757,0.925674660452977
BK_14,2,23,0.762929421789457,0.245833333333333,120,-1.75195665261757,0.925674660452977
BK_15,2,23,0.6702917442064,0.229166666666667,120,1.13186119873835,0.925674660452977
BK_16,2,23,6.00036946017187e-10,0.25,120,4.20238095238097,5.52033990335812e-08
BOPA2_12_30871,2,23,0.762929421789457,0.245833333333333,120,-1.75195665261757,0.925674660452977
BOPA2_12_30872,2,23,0.762929421789457,0.245833333333333,120,-1.75195665261757,0.925674660452977
SCRI_RS_170337,2,23,0.410093551049681,0.233333333333333,120,1.1821933962263,0.757746636704354
SCRI_RS_155612,2,24.8,4.12707879090111e-09,0.225,120,1.3687570409313,1.89845624381451e-07
BOPA1_7032_201,2,26.8,0.537893020111055,0.241666666666667,120,0.74623073013706,0.838748438139272
SCRI_RS_120182,2,33.9,0.16804043603793,0.241666666666667,120,-0.244891339604368,0.618388804619584
BOPA2_12_30657,2,39.7,0.797462228336737,0.133333333333333,120,0.354488429708392,0.92869018996177
SCRI_RS_154981,2,41.2,0.617309047280644,0.120833333333333,120,0.585963026967522,0.925674660452977
SCRI_RS_194318,2,44.4,0.210724416578244,0.158333333333333,120,1.049729064986,0.709847973424119
SCRI_RS_201800,2,48.4,0.727238398332282,0.158333333333333,120,0.477116610113342,0.925674660452977
SCRI_RS_158928,2,50.5,0.441387401265411,0.170833333333333,120,0.771066763906392,0.757746636704354
BOPA1_6384_866,2,52.2,0.931370213088437,0.154166666666667,120,0.200291596438801,0.971759052382423
SCRI_RS_224846,2,52.2,0.931370213088437,0.154166666666667,120,0.200291596438801,0.971759052382423
BOPA1_946_2500,2,54.2,0.774749444074775,0.154166666666667,120,-0.0879595654735502,0.925674660452977
SCRI_RS_144592,2,54.2,0.774749444074775,0.154166666666667,120,-0.0879595654735502,0.925674660452977
SCRI_RS_170235,2,56.2,0.453000706725429,0.141666666666667,120,-0.468483069779667,0.757746636704354
SCRI_RS_240011,2,56.2,0.578429216276288,0.145833333333333,120,-0.309087946113364,0.886924798290308
SCRI_RS_185710,2,58.1,0.884326576616335,0.15,120,0.244755244755243,0.971759052382423
BOPA1_4136_869,2,60.7,0.768811662530013,0.129166666666667,120,-0.115041870569114,0.925674660452977
BOPA1_6911_866,2,60.7,0.966312072183183,0.145833333333333,120,0.0963665915167548,0.971759052382423
BOPA1_2284_1738,2,62.7,0.713909081020598,0.145833333333333,120,-0.00620070709829516,0.925674660452977
BOPA1_4434_804,2,62.7,0.745082449957573,0.154166666666667,120,0.0265745690680292,0.925674660452977
SCRI_RS_153531,2,62.7,0.334618964528529,0.129166666666667,120,-0.679092599117889,0.715928947363364
SCRI_RS_167713,2,62.7,0.713909081020598,0.145833333333333,120,-0.00620070709829516,0.925674660452977
BOPA1_7187_382,2,64.9,0.240789591262276,0.116666666666667,120,-0.707866356523639,0.709847973424119
BOPA1_7660_476,2,64.9,0.240789591262276,0.116666666666667,120,-0.707866356523639,0.709847973424119
BOPA2_12_10719,2,64.9,0.240789591262276,0.116666666666667,120,-0.707866356523639,0.709847973424119
BOPA2_12_31383,2,64.9,0.445539393077237,0.116666666666667,120,-0.35261154578141,0.757746636704354
SCRI_RS_110043,2,64.9,0.240789591262276,0.116666666666667,120,-0.707866356523639,0.709847973424119
BOPA1_4037_916,2,66.3,0.399840574210052,0.1625,120,-0.453367415770344,0.757746636704354
SCRI_RS_9469,2,68.1,0.445539393077237,0.116666666666667,120,-0.35261154578141,0.757746636704354
SCRI_RS_133539,2,74.2,0.394733015902652,0.104166666666667,120,1.10663805224595,0.757746636704354
SCRI_RS_200291,2,76.1,0.435572744244055,0.108333333333333,120,1.04165437488933,0.757746636704354
BOPA2_12_30897,2,80,0.444590255368115,0.1125,120,1.02204699299884,0.757746636704354
SCRI_RS_196853,2,80,0.444590255368115,0.1125,120,1.02204699299884,0.757746636704354
SCRI_RS_88704,2,80,0.444590255368115,0.1125,120,1.02204699299884,0.757746636704354
BOPA1_8632_1809,2,82.5,0.324061031345793,0.104166666666667,120,1.26921579316247,0.709847973424119
SCRI_RS_119261,2,82.5,0.293002553886592,0.0958333333333333,120,1.34234939085721,0.709847973424119
SCRI_RS_155456,2,82.5,0.324061031345793,0.104166666666667,120,1.26921579316247,0.709847973424119
SCRI_RS_157236,2,82.5,0.324061031345793,0.104166666666667,120,1.26921579316247,0.709847973424119
SCRI_RS_176114,2,82.5,0.324061031345793,0.104166666666667,120,1.26921579316247,0.709847973424119
SCRI_RS_182039,2,82.5,0.324061031345793,0.104166666666667,120,1.26921579316247,0.709847973424119
SCRI_RS_211894,2,82.5,0.324061031345793,0.104166666666667,120,1.26921579316247,0.709847973424119
SCRI_RS_237481,2,82.5,0.324061031345793,0.104166666666667,120,1.26921579316247,0.709847973424119
BOPA1_11591_265,2,88.5,0.971759052382423,0.0875,120,-0.0984446903944345,0.971759052382423
