target_id	length	eff_length	est_counts	tpm
AT5G16970.1	1441	1242	256.516	9.12726
AT4G32100.1	369	170	0	0
AT2G43120.2	1338	1139	10841.4	420.64
AT2G43120.1	1355	1156	183.579	7.01799
AT1G30814.1	1511	1312	0	0
AT1G30814.4	1466	1267	0	0
AT1G30814.2	1589	1390	160.663	5.10797
AT1G30814.3	1153	954	270.337	12.5229
AT3G18710.1	1965	1766	17561	439.447
AT4G25880.4	2907	2708	312.259	5.09583
AT4G25880.2	3012	2813	511.279	8.03224
AT4G25880.5	2890	2691	2105.67	34.58
AT4G25880.1	3211	3012	1236.92	18.1482
AT4G25880.3	2949	2750	20.8712	0.3354
AT1G78930.1	2266	2067	406	8.68028
AT3G07950.1	1392	1193	142	5.26012
AT4G03450.2	2088	1889	4	0.0935785
AT4G03450.1	2249	2050	0	0
AT1G71695.1	1480	1281	66	2.27689
AT1G58983.1	1223	1024	2114.35	91.2482
AT1G12980.1	1248	1049	16	0.674051
AT5G41480.1	1856	1657	207	5.52072
AT5G15008.1	165	8.64817	0	0
AT3G51870.1	1547	1348	364	11.9333
AT4G29950.3	3071	2872	238.543	3.67055
AT4G29950.1	3200	3001	1630.23	24.0066
AT4G29950.2	3102	2903	1218.23	18.5451
AT3G18310.1	2870	2671	438	7.24683
AT5G07360.3	2378	2179	322.637	6.54343
AT5G07360.1	2480	2281	22.3627	0.433259
AT5G07360.2	2311	2112	0	0
AT4G08535.1	1518	1319	0	0
AT4G08535.3	1132	933	1.69149	0.080119
AT4G08535.2	1414	1215	4.30851	0.156711
AT4G26490.1	1032	833	96	5.09301
AT5G46240.1	3021	2822	24	0.375839
AT5G62260.3	1854	1655	491.263	13.1179
AT5G62260.1	1839	1640	312.867	8.43071
AT5G62260.2	1922	1723	22.8701	0.586584
AT4G16955.1	902	703	0	0
AT3G25717.1	570	371	18	2.14411
AT1G45223.1	580	381	0	0
AT5G35715.1	1522	1323	0	0
AT5G41908.1	471	272	8	1.29978
AT2G21390.1	4284	4085	1707.39	18.471
AT3G48330.2	788	589	159.453	11.9637
