SNP,Chromosome,Position,DF,t Value,std Error,effect
SCRI_RS_136200,2,2.3,NA,NA,NA,0.647694140856408
SCRI_RS_156845,2,4,NA,NA,NA,0.647694140856408
SCRI_RS_133377,2,6.3,NA,NA,NA,0.708533818862449
SCRI_RS_190048,2,6.3,NA,NA,NA,0.708533818862449
BOPA2_12_31497,2,8.6,NA,NA,NA,0.794996085924563
SCRI_RS_141771,2,8.6,NA,NA,NA,0.794996085924563
SCRI_RS_209516,2,10.4,NA,NA,NA,0.995645342608913
BOPA2_12_31284,2,15.4,NA,NA,NA,0.706162346569679
SCRI_RS_185319,2,15.4,NA,NA,NA,0.759315104287161
SCRI_RS_198643,2,15.4,NA,NA,NA,0.759315104287161
BK_12,2,23,NA,NA,NA,0.647694140856408
BK_14,2,23,NA,NA,NA,0.647694140856408
BK_15,2,23,NA,NA,NA,0.708533818862449
BK_16,2,23,NA,NA,NA,0.647694140856408
BOPA2_12_30871,2,23,NA,NA,NA,0.647694140856408
BOPA2_12_30872,2,23,NA,NA,NA,0.647694140856408
SCRI_RS_170337,2,23,NA,NA,NA,0.708533818862449
SCRI_RS_155612,2,24.8,NA,NA,NA,0.647694140856408
BOPA1_7032_201,2,26.8,NA,NA,NA,0.647694140856408
SCRI_RS_120182,2,33.9,NA,NA,NA,0.706162346569679
BOPA2_12_30657,2,39.7,NA,NA,NA,0.647694140856408
SCRI_RS_154981,2,41.2,NA,NA,NA,0.647694140856408
SCRI_RS_194318,2,44.4,NA,NA,NA,0.647694140856408
SCRI_RS_201800,2,48.4,NA,NA,NA,0.794996085924563
SCRI_RS_158928,2,50.5,NA,NA,NA,0.810425274177157
BOPA1_6384_866,2,52.2,NA,NA,NA,0.794996085924563
SCRI_RS_224846,2,52.2,NA,NA,NA,0.794996085924563
BOPA1_946_2500,2,54.2,NA,NA,NA,0.794996085924563
SCRI_RS_144592,2,54.2,NA,NA,NA,0.794996085924563
SCRI_RS_170235,2,56.2,NA,NA,NA,0.98634244997276
SCRI_RS_240011,2,56.2,NA,NA,NA,0.995645342608913
SCRI_RS_185710,2,58.1,NA,NA,NA,0.937540172612658
BOPA1_4136_869,2,60.7,NA,NA,NA,0.794996085924563
BOPA1_6911_866,2,60.7,NA,NA,NA,0.794996085924563
BOPA1_2284_1738,2,62.7,NA,NA,NA,0.667399638181851
BOPA1_4434_804,2,62.7,NA,NA,NA,0.708533818862449
