SNP,Chromosome,Position,DF,t Value,std Error,effect
SCRI_RS_136200,2,2.3,NA,NA,NA,0.917081562587248
SCRI_RS_156845,2,4,NA,NA,NA,0.975611958369679
SCRI_RS_133377,2,6.3,NA,NA,NA,0.975611958369679
SCRI_RS_190048,2,6.3,NA,NA,NA,0.975611958369679
BOPA2_12_31497,2,8.6,NA,NA,NA,0.913807036601016
SCRI_RS_141771,2,8.6,NA,NA,NA,0.913807036601016
SCRI_RS_209516,2,10.4,NA,NA,NA,0.790646039610614
BOPA2_12_31284,2,15.4,NA,NA,NA,0.921579216460949
SCRI_RS_185319,2,15.4,NA,NA,NA,0.913807036601016
SCRI_RS_198643,2,15.4,NA,NA,NA,0.913807036601016
BK_12,2,23,NA,NA,NA,0.913807036601016
BK_14,2,23,NA,NA,NA,0.913807036601016
BK_15,2,23,NA,NA,NA,0.913807036601016
BK_16,2,23,NA,NA,NA,5.52033990335812e-08
BOPA2_12_30871,2,23,NA,NA,NA,0.913807036601016
BOPA2_12_30872,2,23,NA,NA,NA,0.913807036601016
SCRI_RS_170337,2,23,NA,NA,NA,0.759067114131588
SCRI_RS_155612,2,24.8,NA,NA,NA,1.91159380414786e-07
BOPA1_7032_201,2,26.8,NA,NA,NA,0.824769297503617
SCRI_RS_120182,2,33.9,NA,NA,NA,0.594604619826523
BOPA2_12_30657,2,39.7,NA,NA,NA,0.917081562587248
SCRI_RS_154981,2,41.2,NA,NA,NA,0.913807036601016
SCRI_RS_194318,2,44.4,NA,NA,NA,0.594604619826523
SCRI_RS_201800,2,48.4,NA,NA,NA,0.824769297503617
SCRI_RS_158928,2,50.5,NA,NA,NA,0.759067114131588
BOPA1_6384_866,2,52.2,NA,NA,NA,0.913807036601016
SCRI_RS_224846,2,52.2,NA,NA,NA,0.975611958369679
BOPA1_946_2500,2,54.2,NA,NA,NA,0.913807036601016
SCRI_RS_144592,2,54.2,NA,NA,NA,0.913807036601016
SCRI_RS_170235,2,56.2,NA,NA,NA,0.789654626113662
SCRI_RS_240011,2,56.2,NA,NA,NA,0.872385047498663
SCRI_RS_185710,2,58.1,NA,NA,NA,0.975611958369679
BOPA1_4136_869,2,60.7,NA,NA,NA,0.913807036601016
BOPA1_6911_866,2,60.7,NA,NA,NA,0.975611958369679
BOPA1_2284_1738,2,62.7,NA,NA,NA,0.913807036601016
BOPA1_4434_804,2,62.7,NA,NA,NA,0.913807036601016
SCRI_RS_153531,2,62.7,NA,NA,NA,0.718798026142565
SCRI_RS_167713,2,62.7,NA,NA,NA,0.913807036601016
BOPA1_7187_382,2,64.9,NA,NA,NA,0.718798026142565
BOPA1_7660_476,2,64.9,NA,NA,NA,0.718798026142565
BOPA2_12_10719,2,64.9,NA,NA,NA,0.718798026142565
BOPA2_12_31383,2,64.9,NA,NA,NA,0.759067114131588
SCRI_RS_110043,2,64.9,NA,NA,NA,0.718798026142565
BOPA1_4037_916,2,66.3,NA,NA,NA,0.759067114131588
SCRI_RS_9469,2,68.1,NA,NA,NA,0.759067114131588
SCRI_RS_133539,2,74.2,NA,NA,NA,0.759067114131588
SCRI_RS_200291,2,76.1,NA,NA,NA,0.759067114131588
BOPA2_12_30897,2,80,NA,NA,NA,0.759067114131588
SCRI_RS_196853,2,80,NA,NA,NA,0.759067114131588
SCRI_RS_88704,2,80,NA,NA,NA,0.759067114131588
BOPA1_8632_1809,2,82.5,NA,NA,NA,0.718798026142565
SCRI_RS_119261,2,82.5,NA,NA,NA,0.718798026142565
SCRI_RS_155456,2,82.5,NA,NA,NA,0.718798026142565
SCRI_RS_157236,2,82.5,NA,NA,NA,0.718798026142565
SCRI_RS_176114,2,82.5,NA,NA,NA,0.718798026142565
SCRI_RS_182039,2,82.5,NA,NA,NA,0.718798026142565
SCRI_RS_211894,2,82.5,NA,NA,NA,0.718798026142565
SCRI_RS_237481,2,82.5,NA,NA,NA,0.718798026142565
BOPA1_11591_265,2,88.5,NA,NA,NA,0.975611958369679
SCRI_RS_129223,2,88.5,NA,NA,NA,0.975611958369679
SCRI_RS_135112,2,88.5,NA,NA,NA,0.975611958369679
SCRI_RS_144778,2,88.5,NA,NA,NA,0.975611958369679
SCRI_RS_222876,2,88.5,NA,NA,NA,0.975611958369679
BOPA1_111_499,2,106.4,NA,NA,NA,0.789654626113662
BOPA1_3180_1771,2,106.4,NA,NA,NA,0.789654626113662
BOPA1_871_462,2,106.4,NA,NA,NA,0.759067114131588
BOPA1_2464_1228,2,119.8,NA,NA,NA,0.142574863214072
BOPA2_12_30690,2,119.8,NA,NA,NA,0.142574863214072
SCRI_RS_139840,2,119.8,NA,NA,NA,0.142574863214072
SCRI_RS_209551,2,120.7,NA,NA,NA,0.142574863214072
SCRI_RS_142314,2,123.5,NA,NA,NA,0.142574863214072
SCRI_RS_198883,2,123.5,NA,NA,NA,0.142574863214072
SCRI_RS_106163,2,129.7,NA,NA,NA,0.209649339395861
SCRI_RS_161490,2,132.6,NA,NA,NA,0.237194315147653
BOPA2_12_10487,2,135.6,NA,NA,NA,0.402451249686234
BOPA2_12_10950,2,135.6,NA,NA,NA,0.402451249686234
SCRI_RS_172784,2,135.6,NA,NA,NA,0.402451249686234
SCRI_RS_204274,2,135.6,NA,NA,NA,0.460288348423546
SCRI_RS_234587,2,135.6,NA,NA,NA,0.402451249686234
SCRI_RS_44952,2,135.6,NA,NA,NA,0.41349132019973
SCRI_RS_152664,2,138.6,NA,NA,NA,0.41349132019973
SCRI_RS_156013,2,138.6,NA,NA,NA,0.41349132019973
SCRI_RS_174077,2,138.6,NA,NA,NA,0.41349132019973
SCRI_RS_194653,2,138.6,NA,NA,NA,0.41349132019973
SCRI_RS_116590,2,140.8,NA,NA,NA,0.185131341971663
SCRI_RS_172136,2,142.6,NA,NA,NA,0.142574863214072
SCRI_RS_73620,2,142.6,NA,NA,NA,0.142574863214072
SCRI_RS_170209,2,144.4,NA,NA,NA,0.142574863214072
SCRI_RS_139106,2,146.4,NA,NA,NA,0.718798026142565
SCRI_RS_139115,2,146.4,NA,NA,NA,0.718798026142565
SCRI_RS_142982,2,146.4,NA,NA,NA,0.718798026142565
SCRI_RS_139737,2,148.2,NA,NA,NA,0.718798026142565
