target_id	length	eff_length	est_counts	tpm
AT5G16970.1	1441	1242	154.634	11.9433
AT4G32100.1	369	170	0	0
AT2G43120.2	1338	1139	5828.13	490.848
AT2G43120.1	1355	1156	731.865	60.7316
AT1G30814.1	1511	1312	0	0
AT1G30814.4	1466	1267	0	0
AT1G30814.2	1589	1390	38.2693	2.64105
AT1G30814.3	1153	954	122.731	12.3409
AT3G18710.1	1965	1766	8472	460.189
AT4G25880.4	2907	2708	208.378	7.38148
AT4G25880.2	3012	2813	1.98856e-05	6.78125e-07
AT4G25880.5	2890	2691	644.324	22.9685
AT4G25880.1	3211	3012	666.089	21.2138
AT4G25880.3	2949	2750	0.209562	0.00731007
AT1G78930.1	2266	2067	142	6.59006
AT3G07950.1	1392	1193	60	4.8245
AT4G03450.2	2088	1889	2	0.101564
AT4G03450.1	2249	2050	0	0
AT1G71695.1	1480	1281	137	10.2592
AT1G58983.1	1223	1024	831.767	77.919
AT1G12980.1	1248	1049	2	0.182892
AT5G41480.1	1856	1657	98	5.67342
AT5G15008.1	165	8.64817	0	0
AT3G51870.1	1547	1348	160	11.386
AT4G29950.3	3071	2872	97.1468	3.24478
AT4G29950.1	3200	3001	1250.84	39.983
AT4G29950.2	3102	2903	516.017	17.0513
AT3G18310.1	2870	2671	157	5.63855
AT5G07360.3	2378	2179	106.637	4.69454
AT5G07360.1	2480	2281	22.3627	0.940462
AT5G07360.2	2311	2112	0	0
AT4G08535.1	1518	1319	0	0
AT4G08535.3	1132	933	1	0.102816
AT4G08535.2	1414	1215	0	0
AT4G26490.1	1032	833	36	4.14571
AT5G46240.1	3021	2822	7	0.237948
AT5G62260.3	1854	1655	236.951	13.7342
AT5G62260.1	1839	1640	53.0486	3.10293
AT5G62260.2	1922	1723	0	0
AT4G16955.1	902	703	0	0
AT3G25717.1	570	371	7	1.80995
AT1G45223.1	580	381	0	0
AT5G35715.1	1522	1323	0	0
AT5G41908.1	471	272	2	0.705346
AT2G21390.1	4284	4085	762	17.8939
AT3G48330.2	788	589	39.1415	6.37476
AT3G48330.3	1038	839	14.9413	1.70832
AT3G48330.4	871	672	21.6549	3.09121
AT3G48330.1	1024	825	306.262	35.6107
AT4G32710.1	2794	2595	70	2.58763
AT3G46440.1	1646	1447	183.727	12.18
AT3G46440.2	1735	1536	11.273	0.704027
AT2G21930.1	1401	1202	4	0.319225
AT2G21930.2	1500	1301	0	0
AT3G53910.1	327	128	0	0
AT4G25090.1	3019	2820	0	0
AT4G25090.2	2775	2576	3	0.111716
AT2G18870.1	720	521	0	0
AT1G56250.1	1276	1077	11509.8	1025.16
AT3G16830.1	3909	3710	729	18.8493
AT5G20470.1	1814	1615	3.05325	0.181356
AT5G04950.1	1399	1200	4	0.319757
AT4G13720.1	924	725	42.2791	5.59408
AT4G13720.2	1053	854	39.7209	4.46173
