SNP,Chr,Pos,P.value,MAF,nobs,Effect,H&B.P.Value
SCRI_RS_136200,2,2.3,0.144297609373916,0.308333333333333,120,-0.42966674483287,0.221256334373338
SCRI_RS_156845,2,4,0.0358175603864226,0.279166666666667,120,-0.63706405266971,0.0915337654319687
SCRI_RS_133377,2,6.3,0.0353188270370456,0.270833333333333,120,-0.645339863520165,0.0915337654319687
SCRI_RS_190048,2,6.3,0.0353188270370456,0.270833333333333,120,-0.645339863520165,0.0915337654319687
BOPA2_12_31497,2,8.6,0.0246488374851011,0.233333333333333,120,-0.723264263969355,0.0687179711705848
SCRI_RS_141771,2,8.6,0.0246488374851011,0.233333333333333,120,-0.723264263969355,0.0687179711705848
SCRI_RS_209516,2,10.4,0.0193780593399005,0.225,120,-0.763764965445626,0.0614752227334776
BOPA2_12_31284,2,15.4,8.62825418276085e-06,0.25,120,-1.47731092436974,0.000110100821380709
SCRI_RS_185319,2,15.4,1.04711469908182e-05,0.245833333333333,120,-1.46233720074133,0.000110100821380709
SCRI_RS_198643,2,15.4,1.04711469908182e-05,0.245833333333333,120,-1.46233720074133,0.000110100821380709
BK_12,2,23,1.31642286433456e-05,0.245833333333333,120,-1.40960362714389,0.000110100821380709
BK_14,2,23,1.31642286433456e-05,0.245833333333333,120,-1.40960362714389,0.000110100821380709
BK_15,2,23,3.14917523715646e-05,0.229166666666667,120,-1.34326749098446,0.000241436768181995
BK_16,2,23,9.33149205233566e-06,0.25,120,-1.43577430972388,0.000110100821380709
BOPA2_12_30871,2,23,1.31642286433456e-05,0.245833333333333,120,-1.40960362714389,0.000110100821380709
BOPA2_12_30872,2,23,1.31642286433456e-05,0.245833333333333,120,-1.40960362714389,0.000110100821380709
SCRI_RS_170337,2,23,3.09834358476399e-06,0.233333333333333,120,-1.57660153102337,0.000110100821380709
SCRI_RS_155612,2,24.8,2.47891591549744e-06,0.225,120,-1.61617619306638,0.000110100821380709
BOPA1_7032_201,2,26.8,1.00945209142991e-05,0.241666666666667,120,-1.46542151666834,0.000110100821380709
SCRI_RS_120182,2,33.9,0.0010703694184231,0.241666666666667,120,-1.06525478052829,0.00757492203807114
BOPA2_12_30657,2,39.7,0.00300978466607088,0.133333333333333,120,-1.19927504680629,0.0184600126185681
SCRI_RS_154981,2,41.2,0.00500354881498065,0.120833333333333,120,-1.19787868037233,0.0287704056861387
SCRI_RS_194318,2,44.4,0.00194717015518156,0.158333333333333,120,-1.12532350094805,0.0127956895911931
SCRI_RS_201800,2,48.4,0.0230901341683672,0.158333333333333,120,-0.858650533243794,0.0687179711705848
SCRI_RS_158928,2,50.5,0.0243682519508457,0.170833333333333,120,-0.816034311594727,0.0687179711705848
BOPA1_6384_866,2,52.2,0.0761297840930679,0.154166666666667,120,-0.669593839561575,0.172806384893321
SCRI_RS_224846,2,52.2,0.0761297840930679,0.154166666666667,120,-0.669593839561575,0.172806384893321
BOPA1_946_2500,2,54.2,0.158792744077813,0.154166666666667,120,-0.530684853886574,0.235627942825142
SCRI_RS_144592,2,54.2,0.158792744077813,0.154166666666667,120,-0.530684853886574,0.235627942825142
SCRI_RS_170235,2,56.2,0.367755559667643,0.141666666666667,120,-0.348242301212319,0.412603798651502
SCRI_RS_240011,2,56.2,0.183219220777707,0.145833333333333,120,-0.513633894622494,0.25566607241232
SCRI_RS_185710,2,58.1,0.132173905388285,0.15,120,-0.569283657518951,0.214099705185563
BOPA1_4136_869,2,60.7,0.389577701427618,0.129166666666667,120,-0.343440530322269,0.431821066642661
BOPA1_6911_866,2,60.7,0.277419196506304,0.145833333333333,120,-0.411203659747107,0.344899541602432
BOPA1_2284_1738,2,62.7,0.11987947989781,0.145833333333333,120,-0.601054414161119,0.204239113899973
BOPA1_4434_804,2,62.7,0.0703840698341857,0.154166666666667,120,-0.683309642768994,0.170403537493292
SCRI_RS_153531,2,62.7,0.227920983021193,0.129166666666667,120,-0.491766020917648,0.291232367193747
SCRI_RS_167713,2,62.7,0.11987947989781,0.145833333333333,120,-0.601054414161119,0.204239113899973
BOPA1_7187_382,2,64.9,0.311545852799538,0.116666666666667,120,-0.428053919515017,0.367464339199455
BOPA1_7660_476,2,64.9,0.311545852799538,0.116666666666667,120,-0.428053919515017,0.367464339199455
BOPA2_12_10719,2,64.9,0.311545852799538,0.116666666666667,120,-0.428053919515017,0.367464339199455
BOPA2_12_31383,2,64.9,0.18619159621332,0.116666666666667,120,-0.560018728899175,0.25566607241232
SCRI_RS_110043,2,64.9,0.311545852799538,0.116666666666667,120,-0.428053919515017,0.367464339199455
BOPA1_4037_916,2,66.3,0.353324236284122,0.1625,120,-0.373037441504178,0.401306539977028
SCRI_RS_9469,2,68.1,0.18619159621332,0.116666666666667,120,-0.560018728899175,0.25566607241232
SCRI_RS_133539,2,74.2,0.171594786028183,0.104166666666667,120,-0.60423770704692,0.250582862136395
SCRI_RS_200291,2,76.1,0.206845464749659,0.108333333333333,120,-0.553788785380412,0.27984974642601
BOPA2_12_30897,2,80,0.225454820236124,0.1125,120,-0.528183317590277,0.291232367193747
SCRI_RS_196853,2,80,0.225454820236124,0.1125,120,-0.528183317590277,0.291232367193747
SCRI_RS_88704,2,80,0.225454820236124,0.1125,120,-0.528183317590277,0.291232367193747
BOPA1_8632_1809,2,82.5,0.0939165135289786,0.104166666666667,120,-0.760262220071285,0.172806384893321
SCRI_RS_119261,2,82.5,0.0506771363504502,0.0958333333333333,120,-0.902576534824668,0.126008014709227
SCRI_RS_155456,2,82.5,0.0939165135289786,0.104166666666667,120,-0.760262220071285,0.172806384893321
SCRI_RS_157236,2,82.5,0.0939165135289786,0.104166666666667,120,-0.760262220071285,0.172806384893321
SCRI_RS_176114,2,82.5,0.0939165135289786,0.104166666666667,120,-0.760262220071285,0.172806384893321
SCRI_RS_182039,2,82.5,0.0939165135289786,0.104166666666667,120,-0.760262220071285,0.172806384893321
SCRI_RS_211894,2,82.5,0.0939165135289786,0.104166666666667,120,-0.760262220071285,0.172806384893321
SCRI_RS_237481,2,82.5,0.0939165135289786,0.104166666666667,120,-0.760262220071285,0.172806384893321
BOPA1_11591_265,2,88.5,0.734102452078043,0.0875,120,-0.172761842167025,0.734102452078043
SCRI_RS_129223,2,88.5,0.734102452078043,0.0875,120,-0.172761842167025,0.734102452078043
SCRI_RS_135112,2,88.5,0.734102452078043,0.0875,120,-0.172761842167025,0.734102452078043
SCRI_RS_144778,2,88.5,0.734102452078043,0.0875,120,-0.172761842167025,0.734102452078043
SCRI_RS_222876,2,88.5,0.734102452078043,0.0875,120,-0.172761842167025,0.734102452078043
BOPA1_111_499,2,106.4,0.324811316771709,0.2125,120,-0.332482099043613,0.373533014287465
BOPA1_3180_1771,2,106.4,0.324811316771709,0.2125,120,-0.332482099043613,0.373533014287465
BOPA1_871_462,2,106.4,0.260260652667811,0.204166666666667,120,-0.392498335321203,0.327999726649844
BOPA1_2464_1228,2,119.8,0.132345660469132,0.366666666666667,120,-0.435917184931424,0.214099705185563
BOPA2_12_30690,2,119.8,0.135157343590542,0.3625,120,-0.431731538671116,0.214099705185563
SCRI_RS_139840,2,119.8,0.135157343590542,0.3625,120,-0.431731538671116,0.214099705185563
SCRI_RS_209551,2,120.7,0.137303071803785,0.370833333333333,120,-0.422782199768261,0.214099705185563
SCRI_RS_142314,2,123.5,0.0815709855163709,0.4,120,-0.486388471738499,0.172806384893321
SCRI_RS_198883,2,123.5,0.177294220731056,0.383333333333333,120,-0.368401928371826,0.254860442300893
SCRI_RS_106163,2,129.7,0.0091823002307462,0.433333333333333,120,-0.717676633760305,0.0478928489266539
SCRI_RS_161490,2,132.6,0.0120948063607355,0.420833333333333,120,-0.696521219800523,0.0478928489266539
BOPA2_12_10487,2,135.6,0.0147686417469469,0.4125,120,-0.678297874006343,0.04852553716854
BOPA2_12_10950,2,135.6,0.0147686417469469,0.4125,120,-0.678297874006343,0.04852553716854
SCRI_RS_172784,2,135.6,0.0147686417469469,0.4125,120,-0.678297874006343,0.04852553716854
SCRI_RS_204274,2,135.6,0.0123058044512407,0.4125,120,-0.696932861194785,0.0478928489266539
SCRI_RS_234587,2,135.6,0.0147686417469469,0.4125,120,-0.678297874006343,0.04852553716854
SCRI_RS_44952,2,135.6,0.0124937866765184,0.404166666666667,120,-0.697785798706945,0.0478928489266539
SCRI_RS_152664,2,138.6,0.0120948063607355,0.420833333333333,120,-0.696521219800523,0.0478928489266539
SCRI_RS_156013,2,138.6,0.0120948063607355,0.420833333333333,120,-0.696521219800523,0.0478928489266539
SCRI_RS_174077,2,138.6,0.0120948063607355,0.420833333333333,120,-0.696521219800523,0.0478928489266539
SCRI_RS_194653,2,138.6,0.0120948063607355,0.420833333333333,120,-0.696521219800523,0.0478928489266539
SCRI_RS_116590,2,140.8,0.084275055338611,0.3375,120,-0.488803388445532,0.172806384893321
SCRI_RS_172136,2,142.6,0.111433692443797,0.325,120,-0.45706500122707,0.197151917400563
SCRI_RS_73620,2,142.6,0.111433692443797,0.325,120,-0.45706500122707,0.197151917400563
SCRI_RS_170209,2,144.4,0.0860270838964271,0.2875,120,-0.508928993510084,0.172806384893321
SCRI_RS_139106,2,146.4,0.510519407529944,0.333333333333333,120,-0.18682174856698,0.546137040613428
SCRI_RS_139115,2,146.4,0.510519407529944,0.333333333333333,120,-0.18682174856698,0.546137040613428
SCRI_RS_142982,2,146.4,0.510519407529944,0.333333333333333,120,-0.18682174856698,0.546137040613428
SCRI_RS_139737,2,148.2,0.62432069908131,0.308333333333333,120,-0.14354876532033,0.660201199028512
