SNP,Chr,Pos,P.value,MAF,effect,nobs,H&B.P.Value
SCRI_RS_136200,2,2.3,0.642483471654493,0.308333333333333,0.131783195467537,120,0.845428744446177
SCRI_RS_156845,2,4,0.670304482584959,0.279166666666667,0.132427264424005,120,0.845428744446177
SCRI_RS_133377,2,6.3,0.716776544204368,0.270833333333333,0.113384000596698,120,0.845428744446177
SCRI_RS_190048,2,6.3,0.716776544204368,0.270833333333333,0.113384000596698,120,0.845428744446177
BOPA2_12_31497,2,8.6,0.611216892319751,0.233333333333333,0.172428686114545,120,0.845428744446177
SCRI_RS_141771,2,8.6,0.611216892319751,0.233333333333333,0.172428686114545,120,0.845428744446177
SCRI_RS_209516,2,10.4,0.4220710544086,0.225,0.289651464529475,120,0.844142108817199
BOPA2_12_31284,2,15.4,0.255729103609477,0.25,-0.569665580517975,120,0.588176938301798
SCRI_RS_185319,2,15.4,0.316491920896036,0.245833333333333,-0.510045822455566,120,0.69326801720084
SCRI_RS_198643,2,15.4,0.316491920896036,0.245833333333333,-0.510045822455566,120,0.69326801720084
BK_12,2,23,0.517833753322423,0.245833333333333,-0.351522252086941,120,0.845428744446177
BK_14,2,23,0.517833753322423,0.245833333333333,-0.351522252086941,120,0.845428744446177
BK_15,2,23,0.757798502241815,0.229166666666667,-0.160791027510897,120,0.871468277578087
BK_16,2,23,0.438616603489899,0.25,-0.430609945818464,120,0.845428744446177
BOPA2_12_30871,2,23,0.517833753322423,0.245833333333333,-0.351522252086941,120,0.845428744446177
BOPA2_12_30872,2,23,0.517833753322423,0.245833333333333,-0.351522252086941,120,0.845428744446177
SCRI_RS_170337,2,23,0.574508728938966,0.233333333333333,-0.589781307554232,120,0.845428744446177
SCRI_RS_155612,2,24.8,1.33809649456584e-07,0.225,-1.61617619306638,120,1.23104877500057e-05
BOPA1_7032_201,2,26.8,0.753013988111803,0.241666666666667,0.28765148562765,120,0.871468277578087
SCRI_RS_120182,2,33.9,0.582551108904311,0.241666666666667,0.235186265245377,120,0.845428744446177
BOPA2_12_30657,2,39.7,0.19109201853468,0.133333333333333,-0.505256548256792,120,0.523856209334238
SCRI_RS_154981,2,41.2,0.221549773177363,0.120833333333333,-0.495050128548835,120,0.55730474985446
SCRI_RS_194318,2,44.4,0.0151876063359849,0.158333333333333,-0.784845200345025,120,0.213939011204234
SCRI_RS_201800,2,48.4,0.064668500809382,0.158333333333333,-0.621731464544499,120,0.297475103723157
SCRI_RS_158928,2,50.5,0.0415467149647649,0.170833333333333,-0.653863959403693,120,0.254819851783891
BOPA1_6384_866,2,52.2,0.0852463545497092,0.154166666666667,-0.577069343996297,120,0.340985418198837
SCRI_RS_224846,2,52.2,0.0852463545497092,0.154166666666667,-0.577069343996297,120,0.340985418198837
